SimNum,P,Q,time,I
0,0.624,0.97711,0,2
0,0.624,0.97711,1,32
0,0.624,0.97711,2,450
0,0.624,0.97711,3,1479
0,0.624,0.97711,4,37
0,0.624,0.97711,5,0
1,0.624,0.97711,0,2
1,0.624,0.97711,1,37
1,0.624,0.97711,2,518
1,0.624,0.97711,3,1425
1,0.624,0.97711,4,18
1,0.624,0.97711,5,0
2,0.624,0.97711,0,2
2,0.624,0.97711,1,40
2,0.624,0.97711,2,591
2,0.624,0.97711,3,1356
2,0.624,0.97711,4,11
2,0.624,0.97711,5,0
3,0.624,0.97711,0,2
3,0.624,0.97711,1,38
3,0.624,0.97711,2,535
3,0.624,0.97711,3,1415
3,0.624,0.97711,4,10
3,0.624,0.97711,5,0
4,0.624,0.97711,0,2
4,0.624,0.97711,1,33
4,0.624,0.97711,2,483
4,0.624,0.97711,3,1466
4,0.624,0.97711,4,16
4,0.624,0.97711,5,0
5,0.624,0.97711,0,2
5,0.624,0.97711,1,23
5,0.624,0.97711,2,362
5,0.624,0.97711,3,1537
5,0.624,0.97711,4,76
5,0.624,0.97711,5,0
6,0.624,0.97711,0,2
6,0.624,0.97711,1,38
6,0.624,0.97711,2,542
6,0.624,0.97711,3,1409
6,0.624,0.97711,4,9
6,0.624,0.97711,5,0
7,0.624,0.97711,0,2
7,0.624,0.97711,1,38
7,0.624,0.97711,2,542
7,0.624,0.97711,3,1401
7,0.624,0.97711,4,17
7,0.624,0.97711,5,0
8,0.624,0.97711,0,2
8,0.624,0.97711,1,32
8,0.624,0.97711,2,482
8,0.624,0.97711,3,1462
8,0.624,0.97711,4,22
8,0.624,0.97711,5,0
9,0.624,0.97711,0,2
9,0.624,0.97711,1,41
9,0.624,0.97711,2,599
9,0.624,0.97711,3,1352
9,0.624,0.97711,4,6
9,0.624,0.97711,5,0
10,0.624,0.97711,0,2
10,0.624,0.97711,1,35
10,0.624,0.97711,2,495
10,0.624,0.97711,3,1451
10,0.624,0.97711,4,17
10,0.624,0.97711,5,0
11,0.624,0.97711,0,2
11,0.624,0.97711,1,32
11,0.624,0.97711,2,448
11,0.624,0.97711,3,1487
11,0.624,0.97711,4,31
11,0.624,0.97711,5,0
12,0.624,0.97711,0,2
12,0.624,0.97711,1,24
12,0.624,0.97711,2,349
12,0.624,0.97711,3,1549
12,0.624,0.97711,4,76
12,0.624,0.97711,5,0
13,0.624,0.97711,0,2
13,0.624,0.97711,1,36
13,0.624,0.97711,2,518
13,0.624,0.97711,3,1431
13,0.624,0.97711,4,13
13,0.624,0.97711,5,0
14,0.624,0.97711,0,2
14,0.624,0.97711,1,45
14,0.624,0.97711,2,662
14,0.624,0.97711,3,1287
14,0.624,0.97711,4,4
14,0.624,0.97711,5,0
15,0.624,0.97711,0,2
15,0.624,0.97711,1,32
15,0.624,0.97711,2,451
15,0.624,0.97711,3,1484
15,0.624,0.97711,4,31
15,0.624,0.97711,5,0
16,0.624,0.97711,0,2
16,0.624,0.97711,1,32
16,0.624,0.97711,2,481
16,0.624,0.97711,3,1460
16,0.624,0.97711,4,25
16,0.624,0.97711,5,0
17,0.624,0.97711,0,2
17,0.624,0.97711,1,40
17,0.624,0.97711,2,583
17,0.624,0.97711,3,1367
17,0.624,0.97711,4,8
17,0.624,0.97711,5,0
18,0.624,0.97711,0,2
18,0.624,0.97711,1,36
18,0.624,0.97711,2,520
18,0.624,0.97711,3,1424
18,0.624,0.97711,4,18
18,0.624,0.97711,5,0
19,0.624,0.97711,0,2
19,0.624,0.97711,1,39
19,0.624,0.97711,2,531
19,0.624,0.97711,3,1412
19,0.624,0.97711,4,16
19,0.624,0.97711,5,0
20,0.624,0.97711,0,2
20,0.624,0.97711,1,38
20,0.624,0.97711,2,562
20,0.624,0.97711,3,1388
20,0.624,0.97711,4,10
20,0.624,0.97711,5,0
21,0.624,0.97711,0,2
21,0.624,0.97711,1,35
21,0.624,0.97711,2,519
21,0.624,0.97711,3,1430
21,0.624,0.97711,4,14
21,0.624,0.97711,5,0
22,0.624,0.97711,0,2
22,0.624,0.97711,1,44
22,0.624,0.97711,2,609
22,0.624,0.97711,3,1339
22,0.624,0.97711,4,6
22,0.624,0.97711,5,0
23,0.624,0.97711,0,2
23,0.624,0.97711,1,41
23,0.624,0.97711,2,585
23,0.624,0.97711,3,1362
23,0.624,0.97711,4,10
23,0.624,0.97711,5,0
24,0.624,0.97711,0,2
24,0.624,0.97711,1,35
24,0.624,0.97711,2,540
24,0.624,0.97711,3,1411
24,0.624,0.97711,4,12
24,0.624,0.97711,5,0
25,0.624,0.97711,0,2
25,0.624,0.97711,1,21
25,0.624,0.97711,2,328
25,0.624,0.97711,3,1549
25,0.624,0.97711,4,100
25,0.624,0.97711,5,0
26,0.624,0.97711,0,2
26,0.624,0.97711,1,27
26,0.624,0.97711,2,450
26,0.624,0.97711,3,1486
26,0.624,0.97711,4,35
26,0.624,0.97711,5,0
27,0.624,0.97711,0,2
27,0.624,0.97711,1,41
27,0.624,0.97711,2,581
27,0.624,0.97711,3,1365
27,0.624,0.97711,4,11
27,0.624,0.97711,5,0
28,0.624,0.97711,0,2
28,0.624,0.97711,1,34
28,0.624,0.97711,2,491
28,0.624,0.97711,3,1443
28,0.624,0.97711,4,30
28,0.624,0.97711,5,0
29,0.624,0.97711,0,2
29,0.624,0.97711,1,26
29,0.624,0.97711,2,407
29,0.624,0.97711,3,1517
29,0.624,0.97711,4,48
29,0.624,0.97711,5,0
30,0.624,0.97711,0,2
30,0.624,0.97711,1,33
30,0.624,0.97711,2,500
30,0.624,0.97711,3,1439
30,0.624,0.97711,4,26
30,0.624,0.97711,5,0
31,0.624,0.97711,0,2
31,0.624,0.97711,1,43
31,0.624,0.97711,2,582
31,0.624,0.97711,3,1366
31,0.624,0.97711,4,7
31,0.624,0.97711,5,0
32,0.624,0.97711,0,2
32,0.624,0.97711,1,25
32,0.624,0.97711,2,372
32,0.624,0.97711,3,1532
32,0.624,0.97711,4,69
32,0.624,0.97711,5,0
33,0.624,0.97711,0,2
33,0.624,0.97711,1,29
33,0.624,0.97711,2,446
33,0.624,0.97711,3,1496
33,0.624,0.97711,4,27
33,0.624,0.97711,5,0
34,0.624,0.97711,0,2
34,0.624,0.97711,1,30
34,0.624,0.97711,2,461
34,0.624,0.97711,3,1466
34,0.624,0.97711,4,41
34,0.624,0.97711,5,0
35,0.624,0.97711,0,2
35,0.624,0.97711,1,33
35,0.624,0.97711,2,484
35,0.624,0.97711,3,1456
35,0.624,0.97711,4,25
35,0.624,0.97711,5,0
36,0.624,0.97711,0,2
36,0.624,0.97711,1,34
36,0.624,0.97711,2,501
36,0.624,0.97711,3,1443
36,0.624,0.97711,4,20
36,0.624,0.97711,5,0
37,0.624,0.97711,0,2
37,0.624,0.97711,1,40
37,0.624,0.97711,2,564
37,0.624,0.97711,3,1384
37,0.624,0.97711,4,10
37,0.624,0.97711,5,0
38,0.624,0.97711,0,2
38,0.624,0.97711,1,29
38,0.624,0.97711,2,443
38,0.624,0.97711,3,1487
38,0.624,0.97711,4,39
38,0.624,0.97711,5,0
39,0.624,0.97711,0,2
39,0.624,0.97711,1,37
39,0.624,0.97711,2,508
39,0.624,0.97711,3,1440
39,0.624,0.97711,4,13
39,0.624,0.97711,5,0
40,0.624,0.97711,0,2
40,0.624,0.97711,1,33
40,0.624,0.97711,2,461
40,0.624,0.97711,3,1473
40,0.624,0.97711,4,31
40,0.624,0.97711,5,0
41,0.624,0.97711,0,2
41,0.624,0.97711,1,39
41,0.624,0.97711,2,560
41,0.624,0.97711,3,1391
41,0.624,0.97711,4,8
41,0.624,0.97711,5,0
42,0.624,0.97711,0,2
42,0.624,0.97711,1,33
42,0.624,0.97711,2,475
42,0.624,0.97711,3,1466
42,0.624,0.97711,4,24
42,0.624,0.97711,5,0
43,0.624,0.97711,0,2
43,0.624,0.97711,1,34
43,0.624,0.97711,2,507
43,0.624,0.97711,3,1439
43,0.624,0.97711,4,18
43,0.624,0.97711,5,0
44,0.624,0.97711,0,2
44,0.624,0.97711,1,42
44,0.624,0.97711,2,596
44,0.624,0.97711,3,1353
44,0.624,0.97711,4,7
44,0.624,0.97711,5,0
45,0.624,0.97711,0,2
45,0.624,0.97711,1,34
45,0.624,0.97711,2,488
45,0.624,0.97711,3,1458
45,0.624,0.97711,4,18
45,0.624,0.97711,5,0
46,0.624,0.97711,0,2
46,0.624,0.97711,1,32
46,0.624,0.97711,2,468
46,0.624,0.97711,3,1470
46,0.624,0.97711,4,28
46,0.624,0.97711,5,0
47,0.624,0.97711,0,2
47,0.624,0.97711,1,25
47,0.624,0.97711,2,373
47,0.624,0.97711,3,1544
47,0.624,0.97711,4,56
47,0.624,0.97711,5,0
48,0.624,0.97711,0,2
48,0.624,0.97711,1,32
48,0.624,0.97711,2,457
48,0.624,0.97711,3,1483
48,0.624,0.97711,4,26
48,0.624,0.97711,5,0
49,0.624,0.97711,0,2
49,0.624,0.97711,1,39
49,0.624,0.97711,2,529
49,0.624,0.97711,3,1413
49,0.624,0.97711,4,17
49,0.624,0.97711,5,0
