SimNum,P,Q,time,I
0,0.672,0.8,0,2
0,0.672,0.8,1,239
0,0.672,0.8,2,1759
0,0.672,0.8,3,0
1,0.672,0.8,0,2
1,0.672,0.8,1,257
1,0.672,0.8,2,1741
1,0.672,0.8,3,0
2,0.672,0.8,0,2
2,0.672,0.8,1,287
2,0.672,0.8,2,1711
2,0.672,0.8,3,0
3,0.672,0.8,0,2
3,0.672,0.8,1,260
3,0.672,0.8,2,1738
3,0.672,0.8,3,0
4,0.672,0.8,0,2
4,0.672,0.8,1,261
4,0.672,0.8,2,1737
4,0.672,0.8,3,0
5,0.672,0.8,0,2
5,0.672,0.8,1,243
5,0.672,0.8,2,1755
5,0.672,0.8,3,0
6,0.672,0.8,0,2
6,0.672,0.8,1,250
6,0.672,0.8,2,1748
6,0.672,0.8,3,0
7,0.672,0.8,0,2
7,0.672,0.8,1,237
7,0.672,0.8,2,1761
7,0.672,0.8,3,0
8,0.672,0.8,0,2
8,0.672,0.8,1,238
8,0.672,0.8,2,1760
8,0.672,0.8,3,0
9,0.672,0.8,0,2
9,0.672,0.8,1,275
9,0.672,0.8,2,1723
9,0.672,0.8,3,0
10,0.672,0.8,0,2
10,0.672,0.8,1,252
10,0.672,0.8,2,1746
10,0.672,0.8,3,0
11,0.672,0.8,0,2
11,0.672,0.8,1,265
11,0.672,0.8,2,1733
11,0.672,0.8,3,0
12,0.672,0.8,0,2
12,0.672,0.8,1,253
12,0.672,0.8,2,1745
12,0.672,0.8,3,0
13,0.672,0.8,0,2
13,0.672,0.8,1,268
13,0.672,0.8,2,1730
13,0.672,0.8,3,0
14,0.672,0.8,0,2
14,0.672,0.8,1,284
14,0.672,0.8,2,1714
14,0.672,0.8,3,0
15,0.672,0.8,0,2
15,0.672,0.8,1,259
15,0.672,0.8,2,1739
15,0.672,0.8,3,0
16,0.672,0.8,0,2
16,0.672,0.8,1,276
16,0.672,0.8,2,1722
16,0.672,0.8,3,0
17,0.672,0.8,0,2
17,0.672,0.8,1,262
17,0.672,0.8,2,1736
17,0.672,0.8,3,0
18,0.672,0.8,0,2
18,0.672,0.8,1,229
18,0.672,0.8,2,1769
18,0.672,0.8,3,0
19,0.672,0.8,0,2
19,0.672,0.8,1,246
19,0.672,0.8,2,1752
19,0.672,0.8,3,0
20,0.672,0.8,0,2
20,0.672,0.8,1,279
20,0.672,0.8,2,1719
20,0.672,0.8,3,0
21,0.672,0.8,0,2
21,0.672,0.8,1,256
21,0.672,0.8,2,1742
21,0.672,0.8,3,0
22,0.672,0.8,0,2
22,0.672,0.8,1,284
22,0.672,0.8,2,1714
22,0.672,0.8,3,0
23,0.672,0.8,0,2
23,0.672,0.8,1,244
23,0.672,0.8,2,1754
23,0.672,0.8,3,0
24,0.672,0.8,0,2
24,0.672,0.8,1,249
24,0.672,0.8,2,1749
24,0.672,0.8,3,0
25,0.672,0.8,0,2
25,0.672,0.8,1,254
25,0.672,0.8,2,1744
25,0.672,0.8,3,0
26,0.672,0.8,0,2
26,0.672,0.8,1,243
26,0.672,0.8,2,1755
26,0.672,0.8,3,0
27,0.672,0.8,0,2
27,0.672,0.8,1,262
27,0.672,0.8,2,1736
27,0.672,0.8,3,0
28,0.672,0.8,0,2
28,0.672,0.8,1,265
28,0.672,0.8,2,1733
28,0.672,0.8,3,0
29,0.672,0.8,0,2
29,0.672,0.8,1,273
29,0.672,0.8,2,1725
29,0.672,0.8,3,0
30,0.672,0.8,0,2
30,0.672,0.8,1,243
30,0.672,0.8,2,1755
30,0.672,0.8,3,0
31,0.672,0.8,0,2
31,0.672,0.8,1,237
31,0.672,0.8,2,1761
31,0.672,0.8,3,0
32,0.672,0.8,0,2
32,0.672,0.8,1,244
32,0.672,0.8,2,1754
32,0.672,0.8,3,0
33,0.672,0.8,0,2
33,0.672,0.8,1,254
33,0.672,0.8,2,1744
33,0.672,0.8,3,0
34,0.672,0.8,0,2
34,0.672,0.8,1,237
34,0.672,0.8,2,1761
34,0.672,0.8,3,0
35,0.672,0.8,0,2
35,0.672,0.8,1,234
