SimNum,P,Q,time,I
0,0.448,0.91343,0,2
0,0.448,0.91343,1,177
0,0.448,0.91343,2,1821
0,0.448,0.91343,3,0
1,0.448,0.91343,0,2
1,0.448,0.91343,1,172
1,0.448,0.91343,2,1825
1,0.448,0.91343,3,1
1,0.448,0.91343,4,0
2,0.448,0.91343,0,2
2,0.448,0.91343,1,174
2,0.448,0.91343,2,1824
2,0.448,0.91343,3,0
3,0.448,0.91343,0,2
3,0.448,0.91343,1,176
3,0.448,0.91343,2,1821
3,0.448,0.91343,3,1
3,0.448,0.91343,4,0
4,0.448,0.91343,0,2
4,0.448,0.91343,1,188
4,0.448,0.91343,2,1810
4,0.448,0.91343,3,0
5,0.448,0.91343,0,2
5,0.448,0.91343,1,172
5,0.448,0.91343,2,1826
5,0.448,0.91343,3,0
6,0.448,0.91343,0,2
6,0.448,0.91343,1,175
6,0.448,0.91343,2,1823
6,0.448,0.91343,3,0
7,0.448,0.91343,0,2
7,0.448,0.91343,1,182
7,0.448,0.91343,2,1816
7,0.448,0.91343,3,0
8,0.448,0.91343,0,2
8,0.448,0.91343,1,198
8,0.448,0.91343,2,1800
8,0.448,0.91343,3,0
9,0.448,0.91343,0,2
9,0.448,0.91343,1,185
9,0.448,0.91343,2,1813
9,0.448,0.91343,3,0
10,0.448,0.91343,0,2
10,0.448,0.91343,1,187
10,0.448,0.91343,2,1811
10,0.448,0.91343,3,0
11,0.448,0.91343,0,2
11,0.448,0.91343,1,165
11,0.448,0.91343,2,1833
11,0.448,0.91343,3,0
12,0.448,0.91343,0,2
12,0.448,0.91343,1,181
12,0.448,0.91343,2,1817
12,0.448,0.91343,3,0
13,0.448,0.91343,0,2
13,0.448,0.91343,1,203
13,0.448,0.91343,2,1795
13,0.448,0.91343,3,0
14,0.448,0.91343,0,2
14,0.448,0.91343,1,178
14,0.448,0.91343,2,1820
14,0.448,0.91343,3,0
15,0.448,0.91343,0,2
15,0.448,0.91343,1,169
15,0.448,0.91343,2,1829
15,0.448,0.91343,3,0
16,0.448,0.91343,0,2
16,0.448,0.91343,1,193
16,0.448,0.91343,2,1805
16,0.448,0.91343,3,0
17,0.448,0.91343,0,2
17,0.448,0.91343,1,194
17,0.448,0.91343,2,1804
17,0.448,0.91343,3,0
18,0.448,0.91343,0,2
18,0.448,0.91343,1,181
18,0.448,0.91343,2,1817
18,0.448,0.91343,3,0
19,0.448,0.91343,0,2
19,0.448,0.91343,1,178
19,0.448,0.91343,2,1819
19,0.448,0.91343,3,1
19,0.448,0.91343,4,0
20,0.448,0.91343,0,2
20,0.448,0.91343,1,200
20,0.448,0.91343,2,1798
20,0.448,0.91343,3,0
21,0.448,0.91343,0,2
21,0.448,0.91343,1,192
