SimNum,P,Q,time,I
0,0.752,0.99303,0,2
0,0.752,0.99303,1,5
0,0.752,0.99303,2,16
0,0.752,0.99303,3,69
0,0.752,0.99303,4,222
0,0.752,0.99303,5,561
0,0.752,0.99303,6,731
0,0.752,0.99303,7,297
0,0.752,0.99303,8,38
0,0.752,0.99303,9,3
0,0.752,0.99303,10,1
0,0.752,0.99303,11,0
1,0.752,0.99303,0,2
1,0.752,0.99303,1,4
1,0.752,0.99303,2,19
1,0.752,0.99303,3,62
1,0.752,0.99303,4,205
1,0.752,0.99303,5,540
1,0.752,0.99303,6,697
1,0.752,0.99303,7,336
1,0.752,0.99303,8,68
1,0.752,0.99303,9,6
1,0.752,0.99303,10,1
1,0.752,0.99303,11,2
1,0.752,0.99303,12,0
2,0.752,0.99303,0,2
2,0.752,0.99303,1,5
2,0.752,0.99303,2,23
2,0.752,0.99303,3,82
2,0.752,0.99303,4,254
2,0.752,0.99303,5,618
2,0.752,0.99303,6,674
2,0.752,0.99303,7,243
2,0.752,0.99303,8,30
2,0.752,0.99303,9,6
2,0.752,0.99303,10,3
2,0.752,0.99303,11,1
2,0.752,0.99303,12,0
3,0.752,0.99303,0,2
3,0.752,0.99303,1,8
3,0.752,0.99303,2,42
3,0.752,0.99303,3,127
3,0.752,0.99303,4,343
3,0.752,0.99303,5,630
3,0.752,0.99303,6,560
3,0.752,0.99303,7,184
3,0.752,0.99303,8,26
3,0.752,0.99303,9,7
3,0.752,0.99303,10,0
4,0.752,0.99303,0,2
4,0.752,0.99303,1,8
4,0.752,0.99303,2,30
4,0.752,0.99303,3,105
4,0.752,0.99303,4,293
4,0.752,0.99303,5,646
4,0.752,0.99303,6,616
4,0.752,0.99303,7,204
4,0.752,0.99303,8,36
4,0.752,0.99303,9,2
4,0.752,0.99303,10,0
5,0.752,0.99303,0,2
5,0.752,0.99303,1,10
5,0.752,0.99303,2,38
5,0.752,0.99303,3,136
5,0.752,0.99303,4,399
5,0.752,0.99303,5,698
5,0.752,0.99303,6,505
5,0.752,0.99303,7,127
5,0.752,0.99303,8,12
5,0.752,0.99303,9,1
5,0.752,0.99303,10,0
6,0.752,0.99303,0,2
6,0.752,0.99303,1,4
6,0.752,0.99303,2,9
6,0.752,0.99303,3,35
6,0.752,0.99303,4,107
6,0.752,0.99303,5,293
6,0.752,0.99303,6,651
6,0.752,0.99303,7,614
6,0.752,0.99303,8,169
6,0.752,0.99303,9,27
6,0.752,0.99303,10,5
6,0.752,0.99303,11,0
7,0.752,0.99303,0,2
7,0.752,0.99303,1,6
7,0.752,0.99303,2,26
7,0.752,0.99303,3,79
7,0.752,0.99303,4,239
7,0.752,0.99303,5,555
7,0.752,0.99303,6,690
7,0.752,0.99303,7,285
7,0.752,0.99303,8,49
7,0.752,0.99303,9,8
7,0.752,0.99303,10,1
7,0.752,0.99303,11,1
7,0.752,0.99303,12,0
8,0.752,0.99303,0,2
8,0.752,0.99303,1,5
8,0.752,0.99303,2,17
8,0.752,0.99303,3,61
8,0.752,0.99303,4,190
8,0.752,0.99303,5,488
8,0.752,0.99303,6,708
8,0.752,0.99303,7,377
8,0.752,0.99303,8,75
8,0.752,0.99303,9,10
8,0.752,0.99303,10,0
9,0.752,0.99303,0,2
9,0.752,0.99303,1,6
9,0.752,0.99303,2,21
9,0.752,0.99303,3,63
9,0.752,0.99303,4,212
9,0.752,0.99303,5,550
9,0.752,0.99303,6,696
9,0.752,0.99303,7,305
9,0.752,0.99303,8,61
9,0.752,0.99303,9,5
9,0.752,0.99303,10,1
9,0.752,0.99303,11,0
10,0.752,0.99303,0,2
10,0.752,0.99303,1,6
10,0.752,0.99303,2,14
10,0.752,0.99303,3,51
10,0.752,0.99303,4,153
10,0.752,0.99303,5,384
10,0.752,0.99303,6,660
10,0.752,0.99303,7,502
10,0.752,0.99303,8,142
10,0.752,0.99303,9,15
10,0.752,0.99303,10,2
10,0.752,0.99303,11,0
11,0.752,0.99303,0,2
11,0.752,0.99303,1,6
11,0.752,0.99303,2,19
11,0.752,0.99303,3,54
11,0.752,0.99303,4,173
11,0.752,0.99303,5,472
11,0.752,0.99303,6,716
11,0.752,0.99303,7,409
11,0.752,0.99303,8,73
11,0.752,0.99303,9,13
11,0.752,0.99303,10,2
11,0.752,0.99303,11,1
11,0.752,0.99303,12,0
12,0.752,0.99303,0,2
12,0.752,0.99303,1,10
12,0.752,0.99303,2,30
12,0.752,0.99303,3,113
12,0.752,0.99303,4,340
12,0.752,0.99303,5,647
12,0.752,0.99303,6,554
12,0.752,0.99303,7,180
12,0.752,0.99303,8,23
12,0.752,0.99303,9,1
12,0.752,0.99303,10,0
13,0.752,0.99303,0,2
13,0.752,0.99303,1,11
13,0.752,0.99303,2,34
13,0.752,0.99303,3,129
13,0.752,0.99303,4,334
13,0.752,0.99303,5,653
13,0.752,0.99303,6,558
13,0.752,0.99303,7,185
13,0.752,0.99303,8,24
13,0.752,0.99303,9,2
13,0.752,0.99303,10,0
