SimNum,P,Q,time,I
0,0.256,0.84975,0,2
0,0.256,0.84975,1,429
0,0.256,0.84975,2,1569
0,0.256,0.84975,3,0
1,0.256,0.84975,0,2
1,0.256,0.84975,1,428
1,0.256,0.84975,2,1570
1,0.256,0.84975,3,0
2,0.256,0.84975,0,2
2,0.256,0.84975,1,452
2,0.256,0.84975,2,1546
2,0.256,0.84975,3,0
3,0.256,0.84975,0,2
3,0.256,0.84975,1,435
3,0.256,0.84975,2,1563
3,0.256,0.84975,3,0
4,0.256,0.84975,0,2
4,0.256,0.84975,1,439
4,0.256,0.84975,2,1559
4,0.256,0.84975,3,0
5,0.256,0.84975,0,2
5,0.256,0.84975,1,422
5,0.256,0.84975,2,1576
5,0.256,0.84975,3,0
6,0.256,0.84975,0,2
6,0.256,0.84975,1,433
6,0.256,0.84975,2,1565
6,0.256,0.84975,3,0
7,0.256,0.84975,0,2
7,0.256,0.84975,1,436
7,0.256,0.84975,2,1562
7,0.256,0.84975,3,0
8,0.256,0.84975,0,2
8,0.256,0.84975,1,444
8,0.256,0.84975,2,1554
8,0.256,0.84975,3,0
9,0.256,0.84975,0,2
9,0.256,0.84975,1,436
9,0.256,0.84975,2,1562
9,0.256,0.84975,3,0
10,0.256,0.84975,0,2
10,0.256,0.84975,1,435
10,0.256,0.84975,2,1563
10,0.256,0.84975,3,0
11,0.256,0.84975,0,2
11,0.256,0.84975,1,382
11,0.256,0.84975,2,1616
11,0.256,0.84975,3,0
12,0.256,0.84975,0,2
12,0.256,0.84975,1,415
12,0.256,0.84975,2,1583
12,0.256,0.84975,3,0
13,0.256,0.84975,0,2
13,0.256,0.84975,1,409
13,0.256,0.84975,2,1589
13,0.256,0.84975,3,0
14,0.256,0.84975,0,2
14,0.256,0.84975,1,451
14,0.256,0.84975,2,1547
14,0.256,0.84975,3,0
15,0.256,0.84975,0,2
15,0.256,0.84975,1,434
15,0.256,0.84975,2,1564
15,0.256,0.84975,3,0
16,0.256,0.84975,0,2
16,0.256,0.84975,1,403
16,0.256,0.84975,2,1595
16,0.256,0.84975,3,0
17,0.256,0.84975,0,2
17,0.256,0.84975,1,398
17,0.256,0.84975,2,1600
17,0.256,0.84975,3,0
18,0.256,0.84975,0,2
18,0.256,0.84975,1,417
18,0.256,0.84975,2,1581
18,0.256,0.84975,3,0
19,0.256,0.84975,0,2
19,0.256,0.84975,1,426
19,0.256,0.84975,2,1572
19,0.256,0.84975,3,0
20,0.256,0.84975,0,2
20,0.256,0.84975,1,391
20,0.256,0.84975,2,1607
20,0.256,0.84975,3,0
21,0.256,0.84975,0,2
21,0.256,0.84975,1,442
21,0.256,0.84975,2,1556
21,0.256,0.84975,3,0
22,0.256,0.84975,0,2
22,0.256,0.84975,1,397
22,0.256,0.84975,2,1601
22,0.256,0.84975,3,0
23,0.256,0.84975,0,2
23,0.256,0.84975,1,412
23,0.256,0.84975,2,1586
23,0.256,0.84975,3,0
24,0.256,0.84975,0,2
24,0.256,0.84975,1,412
24,0.256,0.84975,2,1586
24,0.256,0.84975,3,0
25,0.256,0.84975,0,2
25,0.256,0.84975,1,427
25,0.256,0.84975,2,1571
25,0.256,0.84975,3,0
26,0.256,0.84975,0,2
26,0.256,0.84975,1,412
26,0.256,0.84975,2,1586
26,0.256,0.84975,3,0
27,0.256,0.84975,0,2
27,0.256,0.84975,1,428
27,0.256,0.84975,2,1570
27,0.256,0.84975,3,0
28,0.256,0.84975,0,2
28,0.256,0.84975,1,419
28,0.256,0.84975,2,1579
28,0.256,0.84975,3,0
29,0.256,0.84975,0,2
29,0.256,0.84975,1,435
29,0.256,0.84975,2,1563
29,0.256,0.84975,3,0
30,0.256,0.84975,0,2
30,0.256,0.84975,1,444
30,0.256,0.84975,2,1554
30,0.256,0.84975,3,0
31,0.256,0.84975,0,2
31,0.256,0.84975,1,415
31,0.256,0.84975,2,1583
31,0.256,0.84975,3,0
32,0.256,0.84975,0,2
32,0.256,0.84975,1,415
32,0.256,0.84975,2,1583
32,0.256,0.84975,3,0
33,0.256,0.84975,0,2
33,0.256,0.84975,1,414
33,0.256,0.84975,2,1584
33,0.256,0.84975,3,0
34,0.256,0.84975,0,2
34,0.256,0.84975,1,415
34,0.256,0.84975,2,1583
34,0.256,0.84975,3,0
35,0.256,0.84975,0,2
35,0.256,0.84975,1,385
35,0.256,0.84975,2,1613
35,0.256,0.84975,3,0
36,0.256,0.84975,0,2
36,0.256,0.84975,1,415
36,0.256,0.84975,2,1583
36,0.256,0.84975,3,0
37,0.256,0.84975,0,2
37,0.256,0.84975,1,431
37,0.256,0.84975,2,1567
37,0.256,0.84975,3,0
38,0.256,0.84975,0,2
38,0.256,0.84975,1,447
38,0.256,0.84975,2,1551
38,0.256,0.84975,3,0
39,0.256,0.84975,0,2
39,0.256,0.84975,1,397
39,0.256,0.84975,2,1601
39,0.256,0.84975,3,0
40,0.256,0.84975,0,2
40,0.256,0.84975,1,420
40,0.256,0.84975,2,1578
40,0.256,0.84975,3,0
41,0.256,0.84975,0,2
41,0.256,0.84975,1,430
41,0.256,0.84975,2,1568
41,0.256,0.84975,3,0
42,0.256,0.84975,0,2
42,0.256,0.84975,1,447
42,0.256,0.84975,2,1551
42,0.256,0.84975,3,0
43,0.256,0.84975,0,2
43,0.256,0.84975,1,435
43,0.256,0.84975,2,1563
43,0.256,0.84975,3,0
44,0.256,0.84975,0,2
44,0.256,0.84975,1,426
44,0.256,0.84975,2,1572
44,0.256,0.84975,3,0
45,0.256,0.84975,0,2
45,0.256,0.84975,1,432
45,0.256,0.84975,2,1566
45,0.256,0.84975,3,0
46,0.256,0.84975,0,2
46,0.256,0.84975,1,420
46,0.256,0.84975,2,1578
46,0.256,0.84975,3,0
47,0.256,0.84975,0,2
47,0.256,0.84975,1,422
47,0.256,0.84975,2,1576
47,0.256,0.84975,3,0
48,0.256,0.84975,0,2
48,0.256,0.84975,1,412
48,0.256,0.84975,2,1586
48,0.256,0.84975,3,0
49,0.256,0.84975,0,2
49,0.256,0.84975,1,433
49,0.256,0.84975,2,1565
49,0.256,0.84975,3,0
