SimNum,P,Q,time,I
0,0.48,0.87164,0,2
0,0.48,0.87164,1,288
0,0.48,0.87164,2,1710
0,0.48,0.87164,3,0
1,0.48,0.87164,0,2
1,0.48,0.87164,1,259
1,0.48,0.87164,2,1739
1,0.48,0.87164,3,0
2,0.48,0.87164,0,2
2,0.48,0.87164,1,261
2,0.48,0.87164,2,1737
2,0.48,0.87164,3,0
3,0.48,0.87164,0,2
3,0.48,0.87164,1,268
3,0.48,0.87164,2,1730
3,0.48,0.87164,3,0
4,0.48,0.87164,0,2
4,0.48,0.87164,1,293
4,0.48,0.87164,2,1705
4,0.48,0.87164,3,0
5,0.48,0.87164,0,2
5,0.48,0.87164,1,256
5,0.48,0.87164,2,1742
5,0.48,0.87164,3,0
6,0.48,0.87164,0,2
6,0.48,0.87164,1,245
6,0.48,0.87164,2,1753
6,0.48,0.87164,3,0
7,0.48,0.87164,0,2
7,0.48,0.87164,1,237
7,0.48,0.87164,2,1761
7,0.48,0.87164,3,0
8,0.48,0.87164,0,2
8,0.48,0.87164,1,263
8,0.48,0.87164,2,1735
8,0.48,0.87164,3,0
9,0.48,0.87164,0,2
9,0.48,0.87164,1,262
9,0.48,0.87164,2,1736
9,0.48,0.87164,3,0
10,0.48,0.87164,0,2
10,0.48,0.87164,1,250
10,0.48,0.87164,2,1748
10,0.48,0.87164,3,0
11,0.48,0.87164,0,2
11,0.48,0.87164,1,260
11,0.48,0.87164,2,1738
11,0.48,0.87164,3,0
12,0.48,0.87164,0,2
12,0.48,0.87164,1,251
12,0.48,0.87164,2,1747
12,0.48,0.87164,3,0
13,0.48,0.87164,0,2
13,0.48,0.87164,1,261
13,0.48,0.87164,2,1737
13,0.48,0.87164,3,0
14,0.48,0.87164,0,2
14,0.48,0.87164,1,269
14,0.48,0.87164,2,1729
14,0.48,0.87164,3,0
15,0.48,0.87164,0,2
15,0.48,0.87164,1,272
15,0.48,0.87164,2,1726
15,0.48,0.87164,3,0
16,0.48,0.87164,0,2
16,0.48,0.87164,1,262
16,0.48,0.87164,2,1736
16,0.48,0.87164,3,0
17,0.48,0.87164,0,2
17,0.48,0.87164,1,230
17,0.48,0.87164,2,1768
17,0.48,0.87164,3,0
18,0.48,0.87164,0,2
