SimNum,P,Q,time,I
0,0.12,0.98507,0,2
0,0.12,0.98507,1,47
0,0.12,0.98507,2,903
0,0.12,0.98507,3,1048
0,0.12,0.98507,4,0
1,0.12,0.98507,0,2
1,0.12,0.98507,1,50
1,0.12,0.98507,2,933
1,0.12,0.98507,3,1015
1,0.12,0.98507,4,0
2,0.12,0.98507,0,2
2,0.12,0.98507,1,54
2,0.12,0.98507,2,1021
2,0.12,0.98507,3,923
2,0.12,0.98507,4,0
3,0.12,0.98507,0,2
3,0.12,0.98507,1,62
3,0.12,0.98507,2,1085
3,0.12,0.98507,3,851
3,0.12,0.98507,4,0
4,0.12,0.98507,0,2
4,0.12,0.98507,1,40
4,0.12,0.98507,2,814
4,0.12,0.98507,3,1144
4,0.12,0.98507,4,0
5,0.12,0.98507,0,2
5,0.12,0.98507,1,66
5,0.12,0.98507,2,1096
5,0.12,0.98507,3,836
5,0.12,0.98507,4,0
6,0.12,0.98507,0,2
6,0.12,0.98507,1,54
6,0.12,0.98507,2,968
6,0.12,0.98507,3,976
6,0.12,0.98507,4,0
7,0.12,0.98507,0,2
7,0.12,0.98507,1,54
7,0.12,0.98507,2,998
7,0.12,0.98507,3,946
7,0.12,0.98507,4,0
8,0.12,0.98507,0,2
8,0.12,0.98507,1,63
8,0.12,0.98507,2,1089
8,0.12,0.98507,3,846
8,0.12,0.98507,4,0
9,0.12,0.98507,0,2
9,0.12,0.98507,1,45
9,0.12,0.98507,2,879
9,0.12,0.98507,3,1074
9,0.12,0.98507,4,0
10,0.12,0.98507,0,2
10,0.12,0.98507,1,56
10,0.12,0.98507,2,1033
10,0.12,0.98507,3,909
10,0.12,0.98507,4,0
11,0.12,0.98507,0,2
11,0.12,0.98507,1,62
11,0.12,0.98507,2,1069
11,0.12,0.98507,3,867
11,0.12,0.98507,4,0
12,0.12,0.98507,0,2
12,0.12,0.98507,1,57
12,0.12,0.98507,2,1038
12,0.12,0.98507,3,903
12,0.12,0.98507,4,0
13,0.12,0.98507,0,2
13,0.12,0.98507,1,48
13,0.12,0.98507,2,935
13,0.12,0.98507,3,1015
13,0.12,0.98507,4,0
14,0.12,0.98507,0,2
14,0.12,0.98507,1,65
14,0.12,0.98507,2,1103
14,0.12,0.98507,3,830
14,0.12,0.98507,4,0
15,0.12,0.98507,0,2
15,0.12,0.98507,1,38
15,0.12,0.98507,2,782
15,0.12,0.98507,3,1178
15,0.12,0.98507,4,0
16,0.12,0.98507,0,2
16,0.12,0.98507,1,52
16,0.12,0.98507,2,994
16,0.12,0.98507,3,952
16,0.12,0.98507,4,0
17,0.12,0.98507,0,2
17,0.12,0.98507,1,58
17,0.12,0.98507,2,1053
17,0.12,0.98507,3,887
17,0.12,0.98507,4,0
18,0.12,0.98507,0,2
18,0.12,0.98507,1,50
18,0.12,0.98507,2,940
18,0.12,0.98507,3,1008
18,0.12,0.98507,4,0
19,0.12,0.98507,0,2
19,0.12,0.98507,1,59
19,0.12,0.98507,2,1061
19,0.12,0.98507,3,878
19,0.12,0.98507,4,0
20,0.12,0.98507,0,2
20,0.12,0.98507,1,49
20,0.12,0.98507,2,937
20,0.12,0.98507,3,1012
20,0.12,0.98507,4,0
21,0.12,0.98507,0,2
21,0.12,0.98507,1,62
21,0.12,0.98507,2,1058
21,0.12,0.98507,3,878
21,0.12,0.98507,4,0
22,0.12,0.98507,0,2
22,0.12,0.98507,1,56
22,0.12,0.98507,2,1016
22,0.12,0.98507,3,926
22,0.12,0.98507,4,0
23,0.12,0.98507,0,2
23,0.12,0.98507,1,59
23,0.12,0.98507,2,1056
23,0.12,0.98507,3,883
23,0.12,0.98507,4,0
24,0.12,0.98507,0,2
24,0.12,0.98507,1,52
24,0.12,0.98507,2,982
24,0.12,0.98507,3,964
24,0.12,0.98507,4,0
25,0.12,0.98507,0,2
25,0.12,0.98507,1,47
25,0.12,0.98507,2,952
25,0.12,0.98507,3,999
25,0.12,0.98507,4,0
26,0.12,0.98507,0,2
26,0.12,0.98507,1,47
26,0.12,0.98507,2,922
26,0.12,0.98507,3,1029
26,0.12,0.98507,4,0
27,0.12,0.98507,0,2
27,0.12,0.98507,1,48
27,0.12,0.98507,2,896
27,0.12,0.98507,3,1053
27,0.12,0.98507,4,1
27,0.12,0.98507,5,0
28,0.12,0.98507,0,2
28,0.12,0.98507,1,45
28,0.12,0.98507,2,904
28,0.12,0.98507,3,1049
28,0.12,0.98507,4,0
29,0.12,0.98507,0,2
29,0.12,0.98507,1,69
29,0.12,0.98507,2,1154
29,0.12,0.98507,3,775
29,0.12,0.98507,4,0
30,0.12,0.98507,0,2
30,0.12,0.98507,1,57
30,0.12,0.98507,2,1018
30,0.12,0.98507,3,923
30,0.12,0.98507,4,0
31,0.12,0.98507,0,2
31,0.12,0.98507,1,44
31,0.12,0.98507,2,849
31,0.12,0.98507,3,1105
31,0.12,0.98507,4,0
32,0.12,0.98507,0,2
32,0.12,0.98507,1,52
32,0.12,0.98507,2,998
32,0.12,0.98507,3,948
32,0.12,0.98507,4,0
33,0.12,0.98507,0,2
33,0.12,0.98507,1,52
33,0.12,0.98507,2,1007
33,0.12,0.98507,3,939
33,0.12,0.98507,4,0
34,0.12,0.98507,0,2
34,0.12,0.98507,1,53
34,0.12,0.98507,2,962
34,0.12,0.98507,3,983
34,0.12,0.98507,4,0
35,0.12,0.98507,0,2
35,0.12,0.98507,1,56
35,0.12,0.98507,2,1020
35,0.12,0.98507,3,922
35,0.12,0.98507,4,0
36,0.12,0.98507,0,2
36,0.12,0.98507,1,55
36,0.12,0.98507,2,990
36,0.12,0.98507,3,953
36,0.12,0.98507,4,0
37,0.12,0.98507,0,2
37,0.12,0.98507,1,44
37,0.12,0.98507,2,834
37,0.12,0.98507,3,1120
37,0.12,0.98507,4,0
38,0.12,0.98507,0,2
38,0.12,0.98507,1,45
38,0.12,0.98507,2,897
38,0.12,0.98507,3,1056
38,0.12,0.98507,4,0
39,0.12,0.98507,0,2
39,0.12,0.98507,1,55
39,0.12,0.98507,2,1039
39,0.12,0.98507,3,904
39,0.12,0.98507,4,0
40,0.12,0.98507,0,2
40,0.12,0.98507,1,58
40,0.12,0.98507,2,1019
40,0.12,0.98507,3,921
40,0.12,0.98507,4,0
41,0.12,0.98507,0,2
41,0.12,0.98507,1,52
41,0.12,0.98507,2,996
41,0.12,0.98507,3,950
41,0.12,0.98507,4,0
42,0.12,0.98507,0,2
42,0.12,0.98507,1,50
42,0.12,0.98507,2,931
42,0.12,0.98507,3,1017
42,0.12,0.98507,4,0
43,0.12,0.98507,0,2
43,0.12,0.98507,1,45
43,0.12,0.98507,2,881
43,0.12,0.98507,3,1072
43,0.12,0.98507,4,0
44,0.12,0.98507,0,2
44,0.12,0.98507,1,46
44,0.12,0.98507,2,871
44,0.12,0.98507,3,1081
44,0.12,0.98507,4,0
45,0.12,0.98507,0,2
45,0.12,0.98507,1,51
45,0.12,0.98507,2,985
45,0.12,0.98507,3,962
45,0.12,0.98507,4,0
46,0.12,0.98507,0,2
46,0.12,0.98507,1,53
46,0.12,0.98507,2,984
46,0.12,0.98507,3,961
46,0.12,0.98507,4,0
47,0.12,0.98507,0,2
47,0.12,0.98507,1,54
47,0.12,0.98507,2,999
47,0.12,0.98507,3,945
47,0.12,0.98507,4,0
48,0.12,0.98507,0,2
48,0.12,0.98507,1,49
48,0.12,0.98507,2,945
48,0.12,0.98507,3,1004
48,0.12,0.98507,4,0
49,0.12,0.98507,0,2
49,0.12,0.98507,1,62
49,0.12,0.98507,2,1087
49,0.12,0.98507,3,849
49,0.12,0.98507,4,0
