SimNum,P,Q,time,I
0,0.776,0.98109,0,2
0,0.776,0.98109,1,20
0,0.776,0.98109,2,162
0,0.776,0.98109,3,903
0,0.776,0.98109,4,900
0,0.776,0.98109,5,13
0,0.776,0.98109,6,0
1,0.776,0.98109,0,2
1,0.776,0.98109,1,14
1,0.776,0.98109,2,123
1,0.776,0.98109,3,750
1,0.776,0.98109,4,1074
1,0.776,0.98109,5,35
1,0.776,0.98109,6,0
2,0.776,0.98109,0,2
2,0.776,0.98109,1,12
2,0.776,0.98109,2,93
2,0.776,0.98109,3,602
2,0.776,0.98109,4,1188
2,0.776,0.98109,5,103
2,0.776,0.98109,6,0
3,0.776,0.98109,0,2
3,0.776,0.98109,1,18
3,0.776,0.98109,2,146
3,0.776,0.98109,3,859
3,0.776,0.98109,4,946
3,0.776,0.98109,5,29
3,0.776,0.98109,6,0
4,0.776,0.98109,0,2
4,0.776,0.98109,1,12
4,0.776,0.98109,2,105
4,0.776,0.98109,3,712
4,0.776,0.98109,4,1113
4,0.776,0.98109,5,55
4,0.776,0.98109,6,0
5,0.776,0.98109,0,2
5,0.776,0.98109,1,14
5,0.776,0.98109,2,126
5,0.776,0.98109,3,742
5,0.776,0.98109,4,1067
5,0.776,0.98109,5,49
5,0.776,0.98109,6,0
6,0.776,0.98109,0,2
6,0.776,0.98109,1,17
6,0.776,0.98109,2,153
6,0.776,0.98109,3,843
6,0.776,0.98109,4,964
6,0.776,0.98109,5,21
6,0.776,0.98109,6,0
7,0.776,0.98109,0,2
7,0.776,0.98109,1,20
7,0.776,0.98109,2,150
7,0.776,0.98109,3,856
7,0.776,0.98109,4,944
7,0.776,0.98109,5,25
7,0.776,0.98109,6,0
8,0.776,0.98109,0,2
8,0.776,0.98109,1,8
8,0.776,0.98109,2,54
8,0.776,0.98109,3,413
8,0.776,0.98109,4,1257
8,0.776,0.98109,5,264
8,0.776,0.98109,6,2
8,0.776,0.98109,7,0
9,0.776,0.98109,0,2
9,0.776,0.98109,1,21
9,0.776,0.98109,2,155
9,0.776,0.98109,3,869
9,0.776,0.98109,4,928
9,0.776,0.98109,5,25
9,0.776,0.98109,6,0
10,0.776,0.98109,0,2
10,0.776,0.98109,1,15
10,0.776,0.98109,2,127
10,0.776,0.98109,3,746
10,0.776,0.98109,4,1073
10,0.776,0.98109,5,36
10,0.776,0.98109,6,0
11,0.776,0.98109,0,2
11,0.776,0.98109,1,19
11,0.776,0.98109,2,192
11,0.776,0.98109,3,1010
11,0.776,0.98109,4,764
11,0.776,0.98109,5,12
11,0.776,0.98109,6,0
12,0.776,0.98109,0,2
12,0.776,0.98109,1,15
12,0.776,0.98109,2,126
12,0.776,0.98109,3,757
12,0.776,0.98109,4,1050
12,0.776,0.98109,5,50
12,0.776,0.98109,6,0
13,0.776,0.98109,0,2
13,0.776,0.98109,1,19
13,0.776,0.98109,2,170
13,0.776,0.98109,3,950
13,0.776,0.98109,4,844
13,0.776,0.98109,5,14
13,0.776,0.98109,6,0
14,0.776,0.98109,0,2
14,0.776,0.98109,1,24
14,0.776,0.98109,2,187
14,0.776,0.98109,3,990
14,0.776,0.98109,4,788
14,0.776,0.98109,5,9
14,0.776,0.98109,6,0
15,0.776,0.98109,0,2
15,0.776,0.98109,1,20
15,0.776,0.98109,2,160
15,0.776,0.98109,3,916
15,0.776,0.98109,4,879
15,0.776,0.98109,5,23
15,0.776,0.98109,6,0
16,0.776,0.98109,0,2
16,0.776,0.98109,1,19
16,0.776,0.98109,2,188
16,0.776,0.98109,3,992
16,0.776,0.98109,4,786
16,0.776,0.98109,5,10
16,0.776,0.98109,6,0
17,0.776,0.98109,0,2
17,0.776,0.98109,1,17
17,0.776,0.98109,2,145
17,0.776,0.98109,3,842
17,0.776,0.98109,4,971
17,0.776,0.98109,5,21
17,0.776,0.98109,6,1
17,0.776,0.98109,7,0
18,0.776,0.98109,0,2
18,0.776,0.98109,1,25
18,0.776,0.98109,2,208
18,0.776,0.98109,3,1015
18,0.776,0.98109,4,740
18,0.776,0.98109,5,10
18,0.776,0.98109,6,0
19,0.776,0.98109,0,2
19,0.776,0.98109,1,24
19,0.776,0.98109,2,192
19,0.776,0.98109,3,1032
19,0.776,0.98109,4,743
19,0.776,0.98109,5,7
19,0.776,0.98109,6,0
20,0.776,0.98109,0,2
20,0.776,0.98109,1,18
20,0.776,0.98109,2,154
20,0.776,0.98109,3,895
20,0.776,0.98109,4,910
20,0.776,0.98109,5,21
20,0.776,0.98109,6,0
21,0.776,0.98109,0,2
21,0.776,0.98109,1,18
21,0.776,0.98109,2,154
21,0.776,0.98109,3,905
21,0.776,0.98109,4,908
21,0.776,0.98109,5,13
21,0.776,0.98109,6,0
22,0.776,0.98109,0,2
22,0.776,0.98109,1,20
22,0.776,0.98109,2,185
22,0.776,0.98109,3,936
22,0.776,0.98109,4,842
22,0.776,0.98109,5,15
22,0.776,0.98109,6,0
23,0.776,0.98109,0,2
23,0.776,0.98109,1,16
23,0.776,0.98109,2,144
23,0.776,0.98109,3,851
23,0.776,0.98109,4,962
23,0.776,0.98109,5,25
23,0.776,0.98109,6,0
24,0.776,0.98109,0,2
24,0.776,0.98109,1,15
24,0.776,0.98109,2,121
24,0.776,0.98109,3,753
24,0.776,0.98109,4,1056
24,0.776,0.98109,5,51
24,0.776,0.98109,6,1
24,0.776,0.98109,7,0
25,0.776,0.98109,0,2
25,0.776,0.98109,1,15
25,0.776,0.98109,2,122
25,0.776,0.98109,3,755
25,0.776,0.98109,4,1054
25,0.776,0.98109,5,51
25,0.776,0.98109,6,0
26,0.776,0.98109,0,2
26,0.776,0.98109,1,16
26,0.776,0.98109,2,128
26,0.776,0.98109,3,771
26,0.776,0.98109,4,1036
26,0.776,0.98109,5,47
26,0.776,0.98109,6,0
27,0.776,0.98109,0,2
27,0.776,0.98109,1,19
27,0.776,0.98109,2,154
27,0.776,0.98109,3,869
27,0.776,0.98109,4,928
27,0.776,0.98109,5,27
27,0.776,0.98109,6,1
27,0.776,0.98109,7,0
28,0.776,0.98109,0,2
28,0.776,0.98109,1,18
28,0.776,0.98109,2,122
28,0.776,0.98109,3,704
28,0.776,0.98109,4,1088
28,0.776,0.98109,5,66
28,0.776,0.98109,6,0
29,0.776,0.98109,0,2
29,0.776,0.98109,1,22
29,0.776,0.98109,2,191
29,0.776,0.98109,3,1006
29,0.776,0.98109,4,774
29,0.776,0.98109,5,5
29,0.776,0.98109,6,0
30,0.776,0.98109,0,2
30,0.776,0.98109,1,22
30,0.776,0.98109,2,181
30,0.776,0.98109,3,985
30,0.776,0.98109,4,797
30,0.776,0.98109,5,13
30,0.776,0.98109,6,0
31,0.776,0.98109,0,2
31,0.776,0.98109,1,17
31,0.776,0.98109,2,152
31,0.776,0.98109,3,877
31,0.776,0.98109,4,926
31,0.776,0.98109,5,24
31,0.776,0.98109,6,0
32,0.776,0.98109,0,2
32,0.776,0.98109,1,16
32,0.776,0.98109,2,123
32,0.776,0.98109,3,742
32,0.776,0.98109,4,1067
32,0.776,0.98109,5,50
32,0.776,0.98109,6,0
33,0.776,0.98109,0,2
33,0.776,0.98109,1,15
33,0.776,0.98109,2,142
33,0.776,0.98109,3,811
33,0.776,0.98109,4,988
33,0.776,0.98109,5,41
33,0.776,0.98109,6,0
34,0.776,0.98109,0,2
34,0.776,0.98109,1,16
34,0.776,0.98109,2,122
34,0.776,0.98109,3,788
34,0.776,0.98109,4,1021
34,0.776,0.98109,5,51
34,0.776,0.98109,6,0
35,0.776,0.98109,0,2
35,0.776,0.98109,1,20
35,0.776,0.98109,2,171
35,0.776,0.98109,3,944
35,0.776,0.98109,4,847
35,0.776,0.98109,5,15
35,0.776,0.98109,6,0
36,0.776,0.98109,0,2
36,0.776,0.98109,1,19
36,0.776,0.98109,2,148
36,0.776,0.98109,3,828
36,0.776,0.98109,4,975
36,0.776,0.98109,5,28
36,0.776,0.98109,6,0
37,0.776,0.98109,0,2
37,0.776,0.98109,1,13
37,0.776,0.98109,2,102
37,0.776,0.98109,3,684
37,0.776,0.98109,4,1126
37,0.776,0.98109,5,73
37,0.776,0.98109,6,0
38,0.776,0.98109,0,2
38,0.776,0.98109,1,16
38,0.776,0.98109,2,121
38,0.776,0.98109,3,725
38,0.776,0.98109,4,1074
38,0.776,0.98109,5,62
38,0.776,0.98109,6,0
39,0.776,0.98109,0,2
39,0.776,0.98109,1,16
39,0.776,0.98109,2,149
39,0.776,0.98109,3,870
39,0.776,0.98109,4,940
39,0.776,0.98109,5,23
39,0.776,0.98109,6,0
40,0.776,0.98109,0,2
40,0.776,0.98109,1,19
40,0.776,0.98109,2,176
40,0.776,0.98109,3,944
40,0.776,0.98109,4,839
40,0.776,0.98109,5,19
40,0.776,0.98109,6,0
41,0.776,0.98109,0,2
41,0.776,0.98109,1,23
41,0.776,0.98109,2,207
41,0.776,0.98109,3,1061
41,0.776,0.98109,4,702
41,0.776,0.98109,5,5
41,0.776,0.98109,6,0
42,0.776,0.98109,0,2
42,0.776,0.98109,1,20
42,0.776,0.98109,2,161
42,0.776,0.98109,3,931
42,0.776,0.98109,4,870
42,0.776,0.98109,5,16
42,0.776,0.98109,6,0
43,0.776,0.98109,0,2
43,0.776,0.98109,1,10
43,0.776,0.98109,2,83
43,0.776,0.98109,3,569
43,0.776,0.98109,4,1219
43,0.776,0.98109,5,115
43,0.776,0.98109,6,1
43,0.776,0.98109,7,0
44,0.776,0.98109,0,2
44,0.776,0.98109,1,22
44,0.776,0.98109,2,183
44,0.776,0.98109,3,962
44,0.776,0.98109,4,814
44,0.776,0.98109,5,17
44,0.776,0.98109,6,0
45,0.776,0.98109,0,2
45,0.776,0.98109,1,20
45,0.776,0.98109,2,165
45,0.776,0.98109,3,886
45,0.776,0.98109,4,905
45,0.776,0.98109,5,21
45,0.776,0.98109,6,0
46,0.776,0.98109,0,2
46,0.776,0.98109,1,15
46,0.776,0.98109,2,119
46,0.776,0.98109,3,741
46,0.776,0.98109,4,1079
46,0.776,0.98109,5,44
46,0.776,0.98109,6,0
47,0.776,0.98109,0,2
47,0.776,0.98109,1,19
47,0.776,0.98109,2,137
47,0.776,0.98109,3,805
47,0.776,0.98109,4,1015
47,0.776,0.98109,5,22
47,0.776,0.98109,6,0
48,0.776,0.98109,0,2
48,0.776,0.98109,1,21
48,0.776,0.98109,2,179
48,0.776,0.98109,3,938
48,0.776,0.98109,4,845
48,0.776,0.98109,5,14
48,0.776,0.98109,6,0
49,0.776,0.98109,0,2
49,0.776,0.98109,1,19
49,0.776,0.98109,2,151
49,0.776,0.98109,3,890
49,0.776,0.98109,4,914
49,0.776,0.98109,5,24
49,0.776,0.98109,6,0
