SimNum,P,Q,time,I
0,0.64,0.96915,0,2
0,0.64,0.96915,1,50
0,0.64,0.96915,2,854
0,0.64,0.96915,3,1094
0,0.64,0.96915,4,0
1,0.64,0.96915,0,2
1,0.64,0.96915,1,47
1,0.64,0.96915,2,796
1,0.64,0.96915,3,1153
1,0.64,0.96915,4,2
1,0.64,0.96915,5,0
2,0.64,0.96915,0,2
2,0.64,0.96915,1,52
2,0.64,0.96915,2,876
2,0.64,0.96915,3,1070
2,0.64,0.96915,4,0
3,0.64,0.96915,0,2
3,0.64,0.96915,1,40
3,0.64,0.96915,2,687
3,0.64,0.96915,3,1271
3,0.64,0.96915,4,0
4,0.64,0.96915,0,2
4,0.64,0.96915,1,44
4,0.64,0.96915,2,747
4,0.64,0.96915,3,1205
4,0.64,0.96915,4,2
4,0.64,0.96915,5,0
5,0.64,0.96915,0,2
5,0.64,0.96915,1,45
5,0.64,0.96915,2,771
5,0.64,0.96915,3,1181
5,0.64,0.96915,4,1
5,0.64,0.96915,5,0
6,0.64,0.96915,0,2
6,0.64,0.96915,1,50
6,0.64,0.96915,2,848
6,0.64,0.96915,3,1100
6,0.64,0.96915,4,0
7,0.64,0.96915,0,2
7,0.64,0.96915,1,49
7,0.64,0.96915,2,842
7,0.64,0.96915,3,1107
7,0.64,0.96915,4,0
8,0.64,0.96915,0,2
8,0.64,0.96915,1,49
8,0.64,0.96915,2,836
8,0.64,0.96915,3,1113
8,0.64,0.96915,4,0
9,0.64,0.96915,0,2
9,0.64,0.96915,1,37
9,0.64,0.96915,2,671
9,0.64,0.96915,3,1290
9,0.64,0.96915,4,0
10,0.64,0.96915,0,2
10,0.64,0.96915,1,45
10,0.64,0.96915,2,757
10,0.64,0.96915,3,1196
10,0.64,0.96915,4,0
11,0.64,0.96915,0,2
11,0.64,0.96915,1,43
11,0.64,0.96915,2,680
11,0.64,0.96915,3,1274
11,0.64,0.96915,4,1
11,0.64,0.96915,5,0
12,0.64,0.96915,0,2
12,0.64,0.96915,1,36
12,0.64,0.96915,2,604
12,0.64,0.96915,3,1357
12,0.64,0.96915,4,1
12,0.64,0.96915,5,0
13,0.64,0.96915,0,2
13,0.64,0.96915,1,39
13,0.64,0.96915,2,683
13,0.64,0.96915,3,1275
13,0.64,0.96915,4,1
13,0.64,0.96915,5,0
14,0.64,0.96915,0,2
14,0.64,0.96915,1,34
14,0.64,0.96915,2,624
14,0.64,0.96915,3,1340
14,0.64,0.96915,4,0
15,0.64,0.96915,0,2
15,0.64,0.96915,1,33
15,0.64,0.96915,2,596
15,0.64,0.96915,3,1366
15,0.64,0.96915,4,3
15,0.64,0.96915,5,0
16,0.64,0.96915,0,2
16,0.64,0.96915,1,37
16,0.64,0.96915,2,659
16,0.64,0.96915,3,1302
16,0.64,0.96915,4,0
17,0.64,0.96915,0,2
17,0.64,0.96915,1,51
17,0.64,0.96915,2,846
17,0.64,0.96915,3,1101
17,0.64,0.96915,4,0
18,0.64,0.96915,0,2
18,0.64,0.96915,1,49
18,0.64,0.96915,2,853
18,0.64,0.96915,3,1095
18,0.64,0.96915,4,1
18,0.64,0.96915,5,0
19,0.64,0.96915,0,2
19,0.64,0.96915,1,49
19,0.64,0.96915,2,829
19,0.64,0.96915,3,1119
19,0.64,0.96915,4,1
19,0.64,0.96915,5,0
20,0.64,0.96915,0,2
20,0.64,0.96915,1,38
20,0.64,0.96915,2,690
20,0.64,0.96915,3,1270
20,0.64,0.96915,4,0
21,0.64,0.96915,0,2
21,0.64,0.96915,1,52
21,0.64,0.96915,2,875
21,0.64,0.96915,3,1071
21,0.64,0.96915,4,0
22,0.64,0.96915,0,2
22,0.64,0.96915,1,51
22,0.64,0.96915,2,850
22,0.64,0.96915,3,1097
22,0.64,0.96915,4,0
23,0.64,0.96915,0,2
23,0.64,0.96915,1,48
23,0.64,0.96915,2,798
23,0.64,0.96915,3,1152
23,0.64,0.96915,4,0
24,0.64,0.96915,0,2
24,0.64,0.96915,1,38
24,0.64,0.96915,2,661
24,0.64,0.96915,3,1299
24,0.64,0.96915,4,0
25,0.64,0.96915,0,2
25,0.64,0.96915,1,56
25,0.64,0.96915,2,921
25,0.64,0.96915,3,1021
25,0.64,0.96915,4,0
26,0.64,0.96915,0,2
26,0.64,0.96915,1,37
26,0.64,0.96915,2,682
26,0.64,0.96915,3,1277
26,0.64,0.96915,4,2
26,0.64,0.96915,5,0
27,0.64,0.96915,0,2
27,0.64,0.96915,1,42
27,0.64,0.96915,2,740
27,0.64,0.96915,3,1216
27,0.64,0.96915,4,0
28,0.64,0.96915,0,2
28,0.64,0.96915,1,46
28,0.64,0.96915,2,778
28,0.64,0.96915,3,1174
28,0.64,0.96915,4,0
29,0.64,0.96915,0,2
29,0.64,0.96915,1,39
29,0.64,0.96915,2,670
29,0.64,0.96915,3,1288
29,0.64,0.96915,4,1
29,0.64,0.96915,5,0
30,0.64,0.96915,0,2
30,0.64,0.96915,1,50
30,0.64,0.96915,2,823
30,0.64,0.96915,3,1125
30,0.64,0.96915,4,0
31,0.64,0.96915,0,2
31,0.64,0.96915,1,33
31,0.64,0.96915,2,617
31,0.64,0.96915,3,1348
31,0.64,0.96915,4,0
32,0.64,0.96915,0,2
32,0.64,0.96915,1,38
32,0.64,0.96915,2,681
32,0.64,0.96915,3,1278
32,0.64,0.96915,4,1
32,0.64,0.96915,5,0
33,0.64,0.96915,0,2
33,0.64,0.96915,1,46
33,0.64,0.96915,2,790
33,0.64,0.96915,3,1162
33,0.64,0.96915,4,0
34,0.64,0.96915,0,2
34,0.64,0.96915,1,39
34,0.64,0.96915,2,685
34,0.64,0.96915,3,1274
34,0.64,0.96915,4,0
35,0.64,0.96915,0,2
35,0.64,0.96915,1,38
35,0.64,0.96915,2,684
35,0.64,0.96915,3,1276
35,0.64,0.96915,4,0
