SimNum,P,Q,time,I
0,0.40800000000000003,0.94925,0,2
0,0.40800000000000003,0.94925,1,112
0,0.40800000000000003,0.94925,2,1819
0,0.40800000000000003,0.94925,3,67
0,0.40800000000000003,0.94925,4,0
1,0.40800000000000003,0.94925,0,2
1,0.40800000000000003,0.94925,1,131
1,0.40800000000000003,0.94925,2,1838
1,0.40800000000000003,0.94925,3,29
1,0.40800000000000003,0.94925,4,0
2,0.40800000000000003,0.94925,0,2
2,0.40800000000000003,0.94925,1,112
2,0.40800000000000003,0.94925,2,1829
2,0.40800000000000003,0.94925,3,57
2,0.40800000000000003,0.94925,4,0
3,0.40800000000000003,0.94925,0,2
3,0.40800000000000003,0.94925,1,125
3,0.40800000000000003,0.94925,2,1825
3,0.40800000000000003,0.94925,3,48
3,0.40800000000000003,0.94925,4,0
4,0.40800000000000003,0.94925,0,2
4,0.40800000000000003,0.94925,1,127
4,0.40800000000000003,0.94925,2,1837
4,0.40800000000000003,0.94925,3,34
4,0.40800000000000003,0.94925,4,0
5,0.40800000000000003,0.94925,0,2
5,0.40800000000000003,0.94925,1,112
5,0.40800000000000003,0.94925,2,1810
5,0.40800000000000003,0.94925,3,76
5,0.40800000000000003,0.94925,4,0
6,0.40800000000000003,0.94925,0,2
6,0.40800000000000003,0.94925,1,133
6,0.40800000000000003,0.94925,2,1827
6,0.40800000000000003,0.94925,3,38
6,0.40800000000000003,0.94925,4,0
7,0.40800000000000003,0.94925,0,2
7,0.40800000000000003,0.94925,1,128
7,0.40800000000000003,0.94925,2,1824
7,0.40800000000000003,0.94925,3,46
7,0.40800000000000003,0.94925,4,0
8,0.40800000000000003,0.94925,0,2
8,0.40800000000000003,0.94925,1,122
8,0.40800000000000003,0.94925,2,1829
8,0.40800000000000003,0.94925,3,47
8,0.40800000000000003,0.94925,4,0
9,0.40800000000000003,0.94925,0,2
9,0.40800000000000003,0.94925,1,114
9,0.40800000000000003,0.94925,2,1834
9,0.40800000000000003,0.94925,3,50
9,0.40800000000000003,0.94925,4,0
10,0.40800000000000003,0.94925,0,2
10,0.40800000000000003,0.94925,1,99
10,0.40800000000000003,0.94925,2,1797
10,0.40800000000000003,0.94925,3,102
10,0.40800000000000003,0.94925,4,0
11,0.40800000000000003,0.94925,0,2
11,0.40800000000000003,0.94925,1,125
11,0.40800000000000003,0.94925,2,1833
11,0.40800000000000003,0.94925,3,40
11,0.40800000000000003,0.94925,4,0
12,0.40800000000000003,0.94925,0,2
12,0.40800000000000003,0.94925,1,126
12,0.40800000000000003,0.94925,2,1838
12,0.40800000000000003,0.94925,3,34
12,0.40800000000000003,0.94925,4,0
13,0.40800000000000003,0.94925,0,2
13,0.40800000000000003,0.94925,1,112
13,0.40800000000000003,0.94925,2,1825
13,0.40800000000000003,0.94925,3,61
13,0.40800000000000003,0.94925,4,0
14,0.40800000000000003,0.94925,0,2
14,0.40800000000000003,0.94925,1,110
14,0.40800000000000003,0.94925,2,1817
14,0.40800000000000003,0.94925,3,71
14,0.40800000000000003,0.94925,4,0
15,0.40800000000000003,0.94925,0,2
15,0.40800000000000003,0.94925,1,110
15,0.40800000000000003,0.94925,2,1833
15,0.40800000000000003,0.94925,3,55
15,0.40800000000000003,0.94925,4,0
16,0.40800000000000003,0.94925,0,2
16,0.40800000000000003,0.94925,1,122
16,0.40800000000000003,0.94925,2,1830
16,0.40800000000000003,0.94925,3,46
16,0.40800000000000003,0.94925,4,0
17,0.40800000000000003,0.94925,0,2
17,0.40800000000000003,0.94925,1,113
17,0.40800000000000003,0.94925,2,1826
17,0.40800000000000003,0.94925,3,59
17,0.40800000000000003,0.94925,4,0
18,0.40800000000000003,0.94925,0,2
18,0.40800000000000003,0.94925,1,110
18,0.40800000000000003,0.94925,2,1827
18,0.40800000000000003,0.94925,3,61
18,0.40800000000000003,0.94925,4,0
19,0.40800000000000003,0.94925,0,2
19,0.40800000000000003,0.94925,1,113
19,0.40800000000000003,0.94925,2,1816
19,0.40800000000000003,0.94925,3,69
