SimNum,P,Q,time,I
0,0.424,0.999,0,2
0,0.424,0.999,1,1
0,0.424,0.999,2,4
0,0.424,0.999,3,5
0,0.424,0.999,4,5
0,0.424,0.999,5,7
0,0.424,0.999,6,6
0,0.424,0.999,7,6
0,0.424,0.999,8,10
0,0.424,0.999,9,9
0,0.424,0.999,10,14
0,0.424,0.999,11,15
0,0.424,0.999,12,12
0,0.424,0.999,13,11
0,0.424,0.999,14,13
0,0.424,0.999,15,14
0,0.424,0.999,16,15
0,0.424,0.999,17,13
0,0.424,0.999,18,14
0,0.424,0.999,19,16
0,0.424,0.999,20,16
0,0.424,0.999,21,14
0,0.424,0.999,22,13
0,0.424,0.999,23,12
0,0.424,0.999,24,14
0,0.424,0.999,25,12
0,0.424,0.999,26,12
0,0.424,0.999,27,13
0,0.424,0.999,28,13
0,0.424,0.999,29,11
0,0.424,0.999,30,16
1,0.424,0.999,0,2
1,0.424,0.999,1,1
1,0.424,0.999,2,2
1,0.424,0.999,3,3
1,0.424,0.999,4,2
1,0.424,0.999,5,5
1,0.424,0.999,6,9
1,0.424,0.999,7,20
1,0.424,0.999,8,27
1,0.424,0.999,9,23
1,0.424,0.999,10,21
1,0.424,0.999,11,20
1,0.424,0.999,12,20
1,0.424,0.999,13,23
1,0.424,0.999,14,20
1,0.424,0.999,15,21
1,0.424,0.999,16,23
1,0.424,0.999,17,21
1,0.424,0.999,18,22
1,0.424,0.999,19,22
1,0.424,0.999,20,16
1,0.424,0.999,21,11
1,0.424,0.999,22,8
1,0.424,0.999,23,5
1,0.424,0.999,24,7
1,0.424,0.999,25,8
1,0.424,0.999,26,7
1,0.424,0.999,27,6
1,0.424,0.999,28,8
1,0.424,0.999,29,6
1,0.424,0.999,30,4
2,0.424,0.999,0,2
2,0.424,0.999,1,3
2,0.424,0.999,2,2
2,0.424,0.999,3,0
3,0.424,0.999,0,2
3,0.424,0.999,1,1
3,0.424,0.999,2,1
3,0.424,0.999,3,0
4,0.424,0.999,0,2
4,0.424,0.999,1,6
4,0.424,0.999,2,1
4,0.424,0.999,3,1
4,0.424,0.999,4,1
4,0.424,0.999,5,1
4,0.424,0.999,6,3
4,0.424,0.999,7,2
4,0.424,0.999,8,3
4,0.424,0.999,9,2
4,0.424,0.999,10,2
4,0.424,0.999,11,1
4,0.424,0.999,12,1
4,0.424,0.999,13,0
5,0.424,0.999,0,2
5,0.424,0.999,1,2
5,0.424,0.999,2,3
5,0.424,0.999,3,4
5,0.424,0.999,4,7
5,0.424,0.999,5,7
5,0.424,0.999,6,8
5,0.424,0.999,7,10
5,0.424,0.999,8,13
5,0.424,0.999,9,19
5,0.424,0.999,10,12
5,0.424,0.999,11,15
5,0.424,0.999,12,23
5,0.424,0.999,13,33
5,0.424,0.999,14,43
5,0.424,0.999,15,42
5,0.424,0.999,16,42
5,0.424,0.999,17,43
5,0.424,0.999,18,47
5,0.424,0.999,19,42
5,0.424,0.999,20,40
5,0.424,0.999,21,33
5,0.424,0.999,22,25
5,0.424,0.999,23,14
5,0.424,0.999,24,10
5,0.424,0.999,25,9
5,0.424,0.999,26,8
5,0.424,0.999,27,5
5,0.424,0.999,28,4
5,0.424,0.999,29,1
5,0.424,0.999,30,2
6,0.424,0.999,0,2
6,0.424,0.999,1,3
6,0.424,0.999,2,5
6,0.424,0.999,3,9
6,0.424,0.999,4,16
6,0.424,0.999,5,17
6,0.424,0.999,6,15
6,0.424,0.999,7,28
6,0.424,0.999,8,32
6,0.424,0.999,9,45
6,0.424,0.999,10,49
6,0.424,0.999,11,34
6,0.424,0.999,12,43
6,0.424,0.999,13,45
6,0.424,0.999,14,47
6,0.424,0.999,15,45
6,0.424,0.999,16,38
6,0.424,0.999,17,40
6,0.424,0.999,18,26
6,0.424,0.999,19,16
6,0.424,0.999,20,17
6,0.424,0.999,21,17
6,0.424,0.999,22,5
6,0.424,0.999,23,6
6,0.424,0.999,24,3
6,0.424,0.999,25,1
6,0.424,0.999,26,0
7,0.424,0.999,0,2
7,0.424,0.999,1,1
7,0.424,0.999,2,3
7,0.424,0.999,3,4
7,0.424,0.999,4,2
7,0.424,0.999,5,2
7,0.424,0.999,6,1
7,0.424,0.999,7,1
7,0.424,0.999,8,2
7,0.424,0.999,9,0
8,0.424,0.999,0,2
8,0.424,0.999,1,1
8,0.424,0.999,2,1
8,0.424,0.999,3,0
9,0.424,0.999,0,2
9,0.424,0.999,1,1
9,0.424,0.999,2,0
10,0.424,0.999,0,2
10,0.424,0.999,1,1
10,0.424,0.999,2,0
11,0.424,0.999,0,2
11,0.424,0.999,1,2
11,0.424,0.999,2,5
11,0.424,0.999,3,6
11,0.424,0.999,4,13
11,0.424,0.999,5,9
11,0.424,0.999,6,12
11,0.424,0.999,7,12
11,0.424,0.999,8,16
11,0.424,0.999,9,14
11,0.424,0.999,10,10
11,0.424,0.999,11,15
11,0.424,0.999,12,14
11,0.424,0.999,13,18
11,0.424,0.999,14,19
11,0.424,0.999,15,20
11,0.424,0.999,16,27
11,0.424,0.999,17,24
11,0.424,0.999,18,21
11,0.424,0.999,19,23
11,0.424,0.999,20,18
11,0.424,0.999,21,17
11,0.424,0.999,22,17
11,0.424,0.999,23,10
11,0.424,0.999,24,13
11,0.424,0.999,25,14
11,0.424,0.999,26,23
11,0.424,0.999,27,21
11,0.424,0.999,28,24
11,0.424,0.999,29,22
11,0.424,0.999,30,23
12,0.424,0.999,0,2
12,0.424,0.999,1,0
13,0.424,0.999,0,2
13,0.424,0.999,1,8
13,0.424,0.999,2,9
13,0.424,0.999,3,9
13,0.424,0.999,4,3
13,0.424,0.999,5,7
13,0.424,0.999,6,10
