SimNum,P,Q,time,I
0,0.376,0.94129,0,2
0,0.376,0.94129,1,137
0,0.376,0.94129,2,1844
0,0.376,0.94129,3,17
0,0.376,0.94129,4,0
1,0.376,0.94129,0,2
1,0.376,0.94129,1,148
1,0.376,0.94129,2,1841
1,0.376,0.94129,3,9
1,0.376,0.94129,4,0
2,0.376,0.94129,0,2
2,0.376,0.94129,1,146
2,0.376,0.94129,2,1848
2,0.376,0.94129,3,4
2,0.376,0.94129,4,0
3,0.376,0.94129,0,2
3,0.376,0.94129,1,145
3,0.376,0.94129,2,1845
3,0.376,0.94129,3,8
3,0.376,0.94129,4,0
4,0.376,0.94129,0,2
4,0.376,0.94129,1,153
4,0.376,0.94129,2,1839
4,0.376,0.94129,3,6
4,0.376,0.94129,4,0
5,0.376,0.94129,0,2
5,0.376,0.94129,1,129
5,0.376,0.94129,2,1854
5,0.376,0.94129,3,15
5,0.376,0.94129,4,0
6,0.376,0.94129,0,2
6,0.376,0.94129,1,143
6,0.376,0.94129,2,1839
6,0.376,0.94129,3,16
6,0.376,0.94129,4,0
7,0.376,0.94129,0,2
7,0.376,0.94129,1,121
7,0.376,0.94129,2,1855
7,0.376,0.94129,3,22
7,0.376,0.94129,4,0
8,0.376,0.94129,0,2
8,0.376,0.94129,1,124
8,0.376,0.94129,2,1855
8,0.376,0.94129,3,19
8,0.376,0.94129,4,0
9,0.376,0.94129,0,2
9,0.376,0.94129,1,161
9,0.376,0.94129,2,1833
9,0.376,0.94129,3,4
9,0.376,0.94129,4,0
10,0.376,0.94129,0,2
10,0.376,0.94129,1,157
10,0.376,0.94129,2,1837
10,0.376,0.94129,3,4
10,0.376,0.94129,4,0
11,0.376,0.94129,0,2
11,0.376,0.94129,1,125
11,0.376,0.94129,2,1857
11,0.376,0.94129,3,16
11,0.376,0.94129,4,0
12,0.376,0.94129,0,2
12,0.376,0.94129,1,118
12,0.376,0.94129,2,1852
12,0.376,0.94129,3,28
12,0.376,0.94129,4,0
13,0.376,0.94129,0,2
13,0.376,0.94129,1,138
13,0.376,0.94129,2,1847
13,0.376,0.94129,3,13
13,0.376,0.94129,4,0
14,0.376,0.94129,0,2
14,0.376,0.94129,1,134
14,0.376,0.94129,2,1848
14,0.376,0.94129,3,16
14,0.376,0.94129,4,0
15,0.376,0.94129,0,2
15,0.376,0.94129,1,140
15,0.376,0.94129,2,1846
15,0.376,0.94129,3,12
15,0.376,0.94129,4,0
16,0.376,0.94129,0,2
16,0.376,0.94129,1,158
16,0.376,0.94129,2,1836
16,0.376,0.94129,3,4
16,0.376,0.94129,4,0
17,0.376,0.94129,0,2
17,0.376,0.94129,1,160
17,0.376,0.94129,2,1833
17,0.376,0.94129,3,5
17,0.376,0.94129,4,0
18,0.376,0.94129,0,2
18,0.376,0.94129,1,161
18,0.376,0.94129,2,1829
18,0.376,0.94129,3,8
18,0.376,0.94129,4,0
19,0.376,0.94129,0,2
19,0.376,0.94129,1,134
19,0.376,0.94129,2,1850
19,0.376,0.94129,3,14
19,0.376,0.94129,4,0
20,0.376,0.94129,0,2
20,0.376,0.94129,1,143
20,0.376,0.94129,2,1843
20,0.376,0.94129,3,12
20,0.376,0.94129,4,0
21,0.376,0.94129,0,2
21,0.376,0.94129,1,132
21,0.376,0.94129,2,1851
21,0.376,0.94129,3,15
21,0.376,0.94129,4,0
22,0.376,0.94129,0,2
22,0.376,0.94129,1,153
22,0.376,0.94129,2,1838
22,0.376,0.94129,3,7
22,0.376,0.94129,4,0
23,0.376,0.94129,0,2
23,0.376,0.94129,1,144
23,0.376,0.94129,2,1842
23,0.376,0.94129,3,12
23,0.376,0.94129,4,0
24,0.376,0.94129,0,2
24,0.376,0.94129,1,134
24,0.376,0.94129,2,1853
24,0.376,0.94129,3,11
24,0.376,0.94129,4,0
25,0.376,0.94129,0,2
25,0.376,0.94129,1,156
25,0.376,0.94129,2,1837
25,0.376,0.94129,3,5
25,0.376,0.94129,4,0
26,0.376,0.94129,0,2
26,0.376,0.94129,1,125
26,0.376,0.94129,2,1861
26,0.376,0.94129,3,12
26,0.376,0.94129,4,0
27,0.376,0.94129,0,2
27,0.376,0.94129,1,143
27,0.376,0.94129,2,1850
27,0.376,0.94129,3,5
27,0.376,0.94129,4,0
28,0.376,0.94129,0,2
28,0.376,0.94129,1,136
28,0.376,0.94129,2,1846
28,0.376,0.94129,3,16
28,0.376,0.94129,4,0
29,0.376,0.94129,0,2
29,0.376,0.94129,1,146
29,0.376,0.94129,2,1845
29,0.376,0.94129,3,7
29,0.376,0.94129,4,0
30,0.376,0.94129,0,2
30,0.376,0.94129,1,167
30,0.376,0.94129,2,1829
30,0.376,0.94129,3,2
30,0.376,0.94129,4,0
31,0.376,0.94129,0,2
31,0.376,0.94129,1,128
31,0.376,0.94129,2,1857
31,0.376,0.94129,3,13
31,0.376,0.94129,4,0
32,0.376,0.94129,0,2
32,0.376,0.94129,1,153
32,0.376,0.94129,2,1836
32,0.376,0.94129,3,9
32,0.376,0.94129,4,0
33,0.376,0.94129,0,2
33,0.376,0.94129,1,181
33,0.376,0.94129,2,1813
33,0.376,0.94129,3,4
33,0.376,0.94129,4,0
34,0.376,0.94129,0,2
34,0.376,0.94129,1,139
34,0.376,0.94129,2,1851
34,0.376,0.94129,3,8
34,0.376,0.94129,4,0
35,0.376,0.94129,0,2
35,0.376,0.94129,1,149
35,0.376,0.94129,2,1839
35,0.376,0.94129,3,10
35,0.376,0.94129,4,0
36,0.376,0.94129,0,2
36,0.376,0.94129,1,142
36,0.376,0.94129,2,1847
36,0.376,0.94129,3,9
36,0.376,0.94129,4,0
37,0.376,0.94129,0,2
37,0.376,0.94129,1,143
37,0.376,0.94129,2,1851
37,0.376,0.94129,3,4
37,0.376,0.94129,4,0
38,0.376,0.94129,0,2
38,0.376,0.94129,1,135
38,0.376,0.94129,2,1848
38,0.376,0.94129,3,15
38,0.376,0.94129,4,0
39,0.376,0.94129,0,2
39,0.376,0.94129,1,176
39,0.376,0.94129,2,1819
39,0.376,0.94129,3,3
39,0.376,0.94129,4,0
40,0.376,0.94129,0,2
40,0.376,0.94129,1,151
40,0.376,0.94129,2,1843
40,0.376,0.94129,3,4
40,0.376,0.94129,4,0
41,0.376,0.94129,0,2
41,0.376,0.94129,1,148
41,0.376,0.94129,2,1839
41,0.376,0.94129,3,11
41,0.376,0.94129,4,0
42,0.376,0.94129,0,2
42,0.376,0.94129,1,154
42,0.376,0.94129,2,1837
42,0.376,0.94129,3,7
42,0.376,0.94129,4,0
43,0.376,0.94129,0,2
43,0.376,0.94129,1,146
43,0.376,0.94129,2,1845
43,0.376,0.94129,3,7
43,0.376,0.94129,4,0
44,0.376,0.94129,0,2
44,0.376,0.94129,1,154
44,0.376,0.94129,2,1834
44,0.376,0.94129,3,10
44,0.376,0.94129,4,0
45,0.376,0.94129,0,2
45,0.376,0.94129,1,141
45,0.376,0.94129,2,1846
45,0.376,0.94129,3,11
45,0.376,0.94129,4,0
46,0.376,0.94129,0,2
46,0.376,0.94129,1,149
46,0.376,0.94129,2,1848
46,0.376,0.94129,3,1
46,0.376,0.94129,4,0
47,0.376,0.94129,0,2
47,0.376,0.94129,1,148
47,0.376,0.94129,2,1842
47,0.376,0.94129,3,8
47,0.376,0.94129,4,0
48,0.376,0.94129,0,2
48,0.376,0.94129,1,138
48,0.376,0.94129,2,1850
48,0.376,0.94129,3,10
48,0.376,0.94129,4,0
49,0.376,0.94129,0,2
49,0.376,0.94129,1,150
49,0.376,0.94129,2,1842
49,0.376,0.94129,3,6
49,0.376,0.94129,4,0
