SimNum,P,Q,time,I
0,0.024,0.91144,0,2
0,0.024,0.91144,1,357
0,0.024,0.91144,2,1641
0,0.024,0.91144,3,0
1,0.024,0.91144,0,2
1,0.024,0.91144,1,334
1,0.024,0.91144,2,1664
1,0.024,0.91144,3,0
2,0.024,0.91144,0,2
2,0.024,0.91144,1,327
2,0.024,0.91144,2,1671
2,0.024,0.91144,3,0
3,0.024,0.91144,0,2
3,0.024,0.91144,1,318
3,0.024,0.91144,2,1680
3,0.024,0.91144,3,0
4,0.024,0.91144,0,2
4,0.024,0.91144,1,333
4,0.024,0.91144,2,1665
4,0.024,0.91144,3,0
5,0.024,0.91144,0,2
5,0.024,0.91144,1,334
5,0.024,0.91144,2,1664
5,0.024,0.91144,3,0
6,0.024,0.91144,0,2
6,0.024,0.91144,1,347
6,0.024,0.91144,2,1651
6,0.024,0.91144,3,0
7,0.024,0.91144,0,2
7,0.024,0.91144,1,333
7,0.024,0.91144,2,1665
7,0.024,0.91144,3,0
8,0.024,0.91144,0,2
8,0.024,0.91144,1,332
8,0.024,0.91144,2,1666
8,0.024,0.91144,3,0
9,0.024,0.91144,0,2
9,0.024,0.91144,1,336
9,0.024,0.91144,2,1662
9,0.024,0.91144,3,0
10,0.024,0.91144,0,2
10,0.024,0.91144,1,293
10,0.024,0.91144,2,1705
10,0.024,0.91144,3,0
11,0.024,0.91144,0,2
11,0.024,0.91144,1,337
11,0.024,0.91144,2,1661
11,0.024,0.91144,3,0
12,0.024,0.91144,0,2
12,0.024,0.91144,1,372
12,0.024,0.91144,2,1626
12,0.024,0.91144,3,0
13,0.024,0.91144,0,2
13,0.024,0.91144,1,380
13,0.024,0.91144,2,1618
13,0.024,0.91144,3,0
14,0.024,0.91144,0,2
14,0.024,0.91144,1,299
14,0.024,0.91144,2,1699
14,0.024,0.91144,3,0
15,0.024,0.91144,0,2
15,0.024,0.91144,1,312
15,0.024,0.91144,2,1686
15,0.024,0.91144,3,0
16,0.024,0.91144,0,2
16,0.024,0.91144,1,327
16,0.024,0.91144,2,1671
16,0.024,0.91144,3,0
17,0.024,0.91144,0,2
17,0.024,0.91144,1,346
17,0.024,0.91144,2,1652
17,0.024,0.91144,3,0
18,0.024,0.91144,0,2
18,0.024,0.91144,1,354
18,0.024,0.91144,2,1644
18,0.024,0.91144,3,0
19,0.024,0.91144,0,2
19,0.024,0.91144,1,351
19,0.024,0.91144,2,1647
19,0.024,0.91144,3,0
20,0.024,0.91144,0,2
20,0.024,0.91144,1,348
20,0.024,0.91144,2,1650
20,0.024,0.91144,3,0
21,0.024,0.91144,0,2
21,0.024,0.91144,1,323
21,0.024,0.91144,2,1675
21,0.024,0.91144,3,0
22,0.024,0.91144,0,2
22,0.024,0.91144,1,293
22,0.024,0.91144,2,1705
22,0.024,0.91144,3,0
23,0.024,0.91144,0,2
23,0.024,0.91144,1,361
23,0.024,0.91144,2,1637
23,0.024,0.91144,3,0
24,0.024,0.91144,0,2
24,0.024,0.91144,1,303
24,0.024,0.91144,2,1695
24,0.024,0.91144,3,0
25,0.024,0.91144,0,2
25,0.024,0.91144,1,326
25,0.024,0.91144,2,1672
25,0.024,0.91144,3,0
26,0.024,0.91144,0,2
26,0.024,0.91144,1,351
26,0.024,0.91144,2,1647
26,0.024,0.91144,3,0
27,0.024,0.91144,0,2
27,0.024,0.91144,1,331
27,0.024,0.91144,2,1667
27,0.024,0.91144,3,0
28,0.024,0.91144,0,2
28,0.024,0.91144,1,315
28,0.024,0.91144,2,1683
28,0.024,0.91144,3,0
29,0.024,0.91144,0,2
29,0.024,0.91144,1,332
29,0.024,0.91144,2,1666
29,0.024,0.91144,3,0
30,0.024,0.91144,0,2
30,0.024,0.91144,1,333
30,0.024,0.91144,2,1665
30,0.024,0.91144,3,0
31,0.024,0.91144,0,2
31,0.024,0.91144,1,341
31,0.024,0.91144,2,1657
31,0.024,0.91144,3,0
32,0.024,0.91144,0,2
32,0.024,0.91144,1,329
32,0.024,0.91144,2,1669
32,0.024,0.91144,3,0
33,0.024,0.91144,0,2
33,0.024,0.91144,1,327
33,0.024,0.91144,2,1671
33,0.024,0.91144,3,0
34,0.024,0.91144,0,2
34,0.024,0.91144,1,337
34,0.024,0.91144,2,1661
34,0.024,0.91144,3,0
35,0.024,0.91144,0,2
35,0.024,0.91144,1,314
35,0.024,0.91144,2,1684
35,0.024,0.91144,3,0
36,0.024,0.91144,0,2
36,0.024,0.91144,1,297
36,0.024,0.91144,2,1701
36,0.024,0.91144,3,0
37,0.024,0.91144,0,2
37,0.024,0.91144,1,352
37,0.024,0.91144,2,1646
37,0.024,0.91144,3,0
38,0.024,0.91144,0,2
38,0.024,0.91144,1,343
38,0.024,0.91144,2,1655
38,0.024,0.91144,3,0
39,0.024,0.91144,0,2
39,0.024,0.91144,1,352
39,0.024,0.91144,2,1646
39,0.024,0.91144,3,0
40,0.024,0.91144,0,2
40,0.024,0.91144,1,335
40,0.024,0.91144,2,1663
40,0.024,0.91144,3,0
41,0.024,0.91144,0,2
41,0.024,0.91144,1,299
41,0.024,0.91144,2,1699
41,0.024,0.91144,3,0
42,0.024,0.91144,0,2
42,0.024,0.91144,1,333
42,0.024,0.91144,2,1665
42,0.024,0.91144,3,0
43,0.024,0.91144,0,2
43,0.024,0.91144,1,303
43,0.024,0.91144,2,1695
43,0.024,0.91144,3,0
44,0.024,0.91144,0,2
44,0.024,0.91144,1,332
44,0.024,0.91144,2,1666
44,0.024,0.91144,3,0
45,0.024,0.91144,0,2
45,0.024,0.91144,1,348
45,0.024,0.91144,2,1650
45,0.024,0.91144,3,0
46,0.024,0.91144,0,2
46,0.024,0.91144,1,326
46,0.024,0.91144,2,1672
46,0.024,0.91144,3,0
47,0.024,0.91144,0,2
47,0.024,0.91144,1,329
47,0.024,0.91144,2,1669
47,0.024,0.91144,3,0
48,0.024,0.91144,0,2
48,0.024,0.91144,1,309
48,0.024,0.91144,2,1689
48,0.024,0.91144,3,0
49,0.024,0.91144,0,2
49,0.024,0.91144,1,305
49,0.024,0.91144,2,1693
49,0.024,0.91144,3,0
