SimNum,P,Q,time,I
0,0.304,0.9592,0,2
0,0.304,0.9592,1,124
0,0.304,0.9592,2,1805
0,0.304,0.9592,3,69
0,0.304,0.9592,4,0
1,0.304,0.9592,0,2
1,0.304,0.9592,1,111
1,0.304,0.9592,2,1808
1,0.304,0.9592,3,79
1,0.304,0.9592,4,0
2,0.304,0.9592,0,2
2,0.304,0.9592,1,122
2,0.304,0.9592,2,1825
2,0.304,0.9592,3,51
2,0.304,0.9592,4,0
3,0.304,0.9592,0,2
3,0.304,0.9592,1,122
3,0.304,0.9592,2,1803
3,0.304,0.9592,3,73
3,0.304,0.9592,4,0
4,0.304,0.9592,0,2
4,0.304,0.9592,1,107
4,0.304,0.9592,2,1800
4,0.304,0.9592,3,91
4,0.304,0.9592,4,0
5,0.304,0.9592,0,2
5,0.304,0.9592,1,106
5,0.304,0.9592,2,1812
5,0.304,0.9592,3,80
5,0.304,0.9592,4,0
6,0.304,0.9592,0,2
6,0.304,0.9592,1,104
6,0.304,0.9592,2,1806
6,0.304,0.9592,3,88
6,0.304,0.9592,4,0
7,0.304,0.9592,0,2
7,0.304,0.9592,1,109
7,0.304,0.9592,2,1795
7,0.304,0.9592,3,94
7,0.304,0.9592,4,0
8,0.304,0.9592,0,2
8,0.304,0.9592,1,116
8,0.304,0.9592,2,1821
8,0.304,0.9592,3,61
8,0.304,0.9592,4,0
9,0.304,0.9592,0,2
9,0.304,0.9592,1,127
9,0.304,0.9592,2,1827
9,0.304,0.9592,3,44
9,0.304,0.9592,4,0
10,0.304,0.9592,0,2
10,0.304,0.9592,1,99
10,0.304,0.9592,2,1763
10,0.304,0.9592,3,136
10,0.304,0.9592,4,0
11,0.304,0.9592,0,2
11,0.304,0.9592,1,117
11,0.304,0.9592,2,1826
11,0.304,0.9592,3,55
11,0.304,0.9592,4,0
12,0.304,0.9592,0,2
12,0.304,0.9592,1,100
12,0.304,0.9592,2,1800
12,0.304,0.9592,3,98
12,0.304,0.9592,4,0
13,0.304,0.9592,0,2
13,0.304,0.9592,1,111
13,0.304,0.9592,2,1813
13,0.304,0.9592,3,74
13,0.304,0.9592,4,0
14,0.304,0.9592,0,2
14,0.304,0.9592,1,103
14,0.304,0.9592,2,1796
14,0.304,0.9592,3,99
14,0.304,0.9592,4,0
15,0.304,0.9592,0,2
15,0.304,0.9592,1,121
15,0.304,0.9592,2,1820
15,0.304,0.9592,3,57
15,0.304,0.9592,4,0
16,0.304,0.9592,0,2
16,0.304,0.9592,1,113
16,0.304,0.9592,2,1833
16,0.304,0.9592,3,52
16,0.304,0.9592,4,0
17,0.304,0.9592,0,2
17,0.304,0.9592,1,115
17,0.304,0.9592,2,1811
17,0.304,0.9592,3,72
17,0.304,0.9592,4,0
18,0.304,0.9592,0,2
18,0.304,0.9592,1,99
18,0.304,0.9592,2,1805
18,0.304,0.9592,3,94
18,0.304,0.9592,4,0
19,0.304,0.9592,0,2
19,0.304,0.9592,1,129
19,0.304,0.9592,2,1830
19,0.304,0.9592,3,39
19,0.304,0.9592,4,0
20,0.304,0.9592,0,2
20,0.304,0.9592,1,121
20,0.304,0.9592,2,1825
20,0.304,0.9592,3,52
20,0.304,0.9592,4,0
21,0.304,0.9592,0,2
21,0.304,0.9592,1,106
21,0.304,0.9592,2,1813
21,0.304,0.9592,3,79
21,0.304,0.9592,4,0
22,0.304,0.9592,0,2
22,0.304,0.9592,1,100
22,0.304,0.9592,2,1778
22,0.304,0.9592,3,120
22,0.304,0.9592,4,0
23,0.304,0.9592,0,2
23,0.304,0.9592,1,112
23,0.304,0.9592,2,1814
23,0.304,0.9592,3,72
23,0.304,0.9592,4,0
24,0.304,0.9592,0,2
24,0.304,0.9592,1,113
24,0.304,0.9592,2,1802
24,0.304,0.9592,3,83
24,0.304,0.9592,4,0
25,0.304,0.9592,0,2
25,0.304,0.9592,1,120
25,0.304,0.9592,2,1821
25,0.304,0.9592,3,57
25,0.304,0.9592,4,0
26,0.304,0.9592,0,2
26,0.304,0.9592,1,107
26,0.304,0.9592,2,1807
26,0.304,0.9592,3,84
26,0.304,0.9592,4,0
27,0.304,0.9592,0,2
27,0.304,0.9592,1,113
27,0.304,0.9592,2,1803
27,0.304,0.9592,3,82
27,0.304,0.9592,4,0
28,0.304,0.9592,0,2
28,0.304,0.9592,1,111
28,0.304,0.9592,2,1805
28,0.304,0.9592,3,82
28,0.304,0.9592,4,0
29,0.304,0.9592,0,2
29,0.304,0.9592,1,108
29,0.304,0.9592,2,1808
29,0.304,0.9592,3,82
29,0.304,0.9592,4,0
30,0.304,0.9592,0,2
30,0.304,0.9592,1,94
30,0.304,0.9592,2,1802
30,0.304,0.9592,3,102
30,0.304,0.9592,4,0
31,0.304,0.9592,0,2
31,0.304,0.9592,1,111
31,0.304,0.9592,2,1805
31,0.304,0.9592,3,82
31,0.304,0.9592,4,0
32,0.304,0.9592,0,2
32,0.304,0.9592,1,106
32,0.304,0.9592,2,1820
32,0.304,0.9592,3,72
32,0.304,0.9592,4,0
33,0.304,0.9592,0,2
33,0.304,0.9592,1,119
33,0.304,0.9592,2,1822
33,0.304,0.9592,3,57
33,0.304,0.9592,4,0
34,0.304,0.9592,0,2
34,0.304,0.9592,1,108
34,0.304,0.9592,2,1812
34,0.304,0.9592,3,78
34,0.304,0.9592,4,0
35,0.304,0.9592,0,2
35,0.304,0.9592,1,121
35,0.304,0.9592,2,1822
35,0.304,0.9592,3,55
35,0.304,0.9592,4,0
36,0.304,0.9592,0,2
36,0.304,0.9592,1,110
36,0.304,0.9592,2,1802
36,0.304,0.9592,3,86
36,0.304,0.9592,4,0
37,0.304,0.9592,0,2
37,0.304,0.9592,1,110
37,0.304,0.9592,2,1828
37,0.304,0.9592,3,60
37,0.304,0.9592,4,0
38,0.304,0.9592,0,2
38,0.304,0.9592,1,126
38,0.304,0.9592,2,1819
38,0.304,0.9592,3,53
38,0.304,0.9592,4,0
39,0.304,0.9592,0,2
39,0.304,0.9592,1,124
39,0.304,0.9592,2,1825
39,0.304,0.9592,3,49
39,0.304,0.9592,4,0
40,0.304,0.9592,0,2
40,0.304,0.9592,1,101
40,0.304,0.9592,2,1806
40,0.304,0.9592,3,91
40,0.304,0.9592,4,0
41,0.304,0.9592,0,2
41,0.304,0.9592,1,121
41,0.304,0.9592,2,1821
41,0.304,0.9592,3,56
41,0.304,0.9592,4,0
42,0.304,0.9592,0,2
42,0.304,0.9592,1,113
42,0.304,0.9592,2,1820
42,0.304,0.9592,3,65
42,0.304,0.9592,4,0
43,0.304,0.9592,0,2
43,0.304,0.9592,1,100
43,0.304,0.9592,2,1779
43,0.304,0.9592,3,119
43,0.304,0.9592,4,0
44,0.304,0.9592,0,2
44,0.304,0.9592,1,117
44,0.304,0.9592,2,1824
44,0.304,0.9592,3,57
44,0.304,0.9592,4,0
45,0.304,0.9592,0,2
45,0.304,0.9592,1,116
45,0.304,0.9592,2,1806
45,0.304,0.9592,3,76
45,0.304,0.9592,4,0
46,0.304,0.9592,0,2
46,0.304,0.9592,1,135
46,0.304,0.9592,2,1828
46,0.304,0.9592,3,35
46,0.304,0.9592,4,0
47,0.304,0.9592,0,2
47,0.304,0.9592,1,118
47,0.304,0.9592,2,1818
47,0.304,0.9592,3,62
47,0.304,0.9592,4,0
48,0.304,0.9592,0,2
48,0.304,0.9592,1,128
48,0.304,0.9592,2,1822
48,0.304,0.9592,3,48
48,0.304,0.9592,4,0
49,0.304,0.9592,0,2
49,0.304,0.9592,1,123
49,0.304,0.9592,2,1825
49,0.304,0.9592,3,50
49,0.304,0.9592,4,0
