SimNum,P,Q,time,I
0,0.232,0.84179,0,2
0,0.232,0.84179,1,458
0,0.232,0.84179,2,1540
0,0.232,0.84179,3,0
1,0.232,0.84179,0,2
1,0.232,0.84179,1,435
1,0.232,0.84179,2,1563
1,0.232,0.84179,3,0
2,0.232,0.84179,0,2
2,0.232,0.84179,1,468
2,0.232,0.84179,2,1530
2,0.232,0.84179,3,0
3,0.232,0.84179,0,2
3,0.232,0.84179,1,446
3,0.232,0.84179,2,1552
3,0.232,0.84179,3,0
4,0.232,0.84179,0,2
4,0.232,0.84179,1,462
4,0.232,0.84179,2,1536
4,0.232,0.84179,3,0
5,0.232,0.84179,0,2
5,0.232,0.84179,1,452
5,0.232,0.84179,2,1546
5,0.232,0.84179,3,0
6,0.232,0.84179,0,2
6,0.232,0.84179,1,439
6,0.232,0.84179,2,1559
6,0.232,0.84179,3,0
7,0.232,0.84179,0,2
7,0.232,0.84179,1,457
7,0.232,0.84179,2,1541
7,0.232,0.84179,3,0
8,0.232,0.84179,0,2
8,0.232,0.84179,1,462
8,0.232,0.84179,2,1536
8,0.232,0.84179,3,0
9,0.232,0.84179,0,2
9,0.232,0.84179,1,445
9,0.232,0.84179,2,1553
9,0.232,0.84179,3,0
10,0.232,0.84179,0,2
10,0.232,0.84179,1,465
10,0.232,0.84179,2,1533
10,0.232,0.84179,3,0
11,0.232,0.84179,0,2
11,0.232,0.84179,1,465
11,0.232,0.84179,2,1533
11,0.232,0.84179,3,0
12,0.232,0.84179,0,2
12,0.232,0.84179,1,462
12,0.232,0.84179,2,1536
12,0.232,0.84179,3,0
13,0.232,0.84179,0,2
13,0.232,0.84179,1,465
13,0.232,0.84179,2,1533
13,0.232,0.84179,3,0
14,0.232,0.84179,0,2
14,0.232,0.84179,1,461
14,0.232,0.84179,2,1537
14,0.232,0.84179,3,0
15,0.232,0.84179,0,2
15,0.232,0.84179,1,474
15,0.232,0.84179,2,1524
15,0.232,0.84179,3,0
16,0.232,0.84179,0,2
16,0.232,0.84179,1,440
16,0.232,0.84179,2,1558
16,0.232,0.84179,3,0
17,0.232,0.84179,0,2
17,0.232,0.84179,1,421
17,0.232,0.84179,2,1577
17,0.232,0.84179,3,0
18,0.232,0.84179,0,2
18,0.232,0.84179,1,449
18,0.232,0.84179,2,1549
18,0.232,0.84179,3,0
19,0.232,0.84179,0,2
19,0.232,0.84179,1,447
19,0.232,0.84179,2,1551
19,0.232,0.84179,3,0
20,0.232,0.84179,0,2
20,0.232,0.84179,1,480
20,0.232,0.84179,2,1518
20,0.232,0.84179,3,0
21,0.232,0.84179,0,2
21,0.232,0.84179,1,472
21,0.232,0.84179,2,1526
21,0.232,0.84179,3,0
22,0.232,0.84179,0,2
22,0.232,0.84179,1,459
22,0.232,0.84179,2,1539
22,0.232,0.84179,3,0
23,0.232,0.84179,0,2
23,0.232,0.84179,1,448
23,0.232,0.84179,2,1550
23,0.232,0.84179,3,0
24,0.232,0.84179,0,2
24,0.232,0.84179,1,438
24,0.232,0.84179,2,1560
24,0.232,0.84179,3,0
25,0.232,0.84179,0,2
25,0.232,0.84179,1,472
25,0.232,0.84179,2,1526
25,0.232,0.84179,3,0
26,0.232,0.84179,0,2
26,0.232,0.84179,1,519
26,0.232,0.84179,2,1479
26,0.232,0.84179,3,0
27,0.232,0.84179,0,2
27,0.232,0.84179,1,456
27,0.232,0.84179,2,1542
27,0.232,0.84179,3,0
28,0.232,0.84179,0,2
28,0.232,0.84179,1,454
28,0.232,0.84179,2,1544
28,0.232,0.84179,3,0
29,0.232,0.84179,0,2
29,0.232,0.84179,1,450
29,0.232,0.84179,2,1548
29,0.232,0.84179,3,0
