SimNum,P,Q,time,I
0,0.528,0.9791,0,2
0,0.528,0.9791,1,34
0,0.528,0.9791,2,567
0,0.528,0.9791,3,1394
0,0.528,0.9791,4,3
0,0.528,0.9791,5,0
1,0.528,0.9791,0,2
1,0.528,0.9791,1,44
1,0.528,0.9791,2,692
1,0.528,0.9791,3,1261
1,0.528,0.9791,4,1
1,0.528,0.9791,5,0
2,0.528,0.9791,0,2
2,0.528,0.9791,1,34
2,0.528,0.9791,2,549
2,0.528,0.9791,3,1411
2,0.528,0.9791,4,4
2,0.528,0.9791,5,0
3,0.528,0.9791,0,2
3,0.528,0.9791,1,35
3,0.528,0.9791,2,582
3,0.528,0.9791,3,1377
3,0.528,0.9791,4,4
3,0.528,0.9791,5,0
4,0.528,0.9791,0,2
4,0.528,0.9791,1,35
4,0.528,0.9791,2,550
4,0.528,0.9791,3,1407
4,0.528,0.9791,4,6
4,0.528,0.9791,5,0
5,0.528,0.9791,0,2
5,0.528,0.9791,1,42
5,0.528,0.9791,2,629
5,0.528,0.9791,3,1324
5,0.528,0.9791,4,3
5,0.528,0.9791,5,0
6,0.528,0.9791,0,2
6,0.528,0.9791,1,42
6,0.528,0.9791,2,664
6,0.528,0.9791,3,1290
6,0.528,0.9791,4,2
6,0.528,0.9791,5,0
7,0.528,0.9791,0,2
7,0.528,0.9791,1,38
7,0.528,0.9791,2,623
7,0.528,0.9791,3,1335
7,0.528,0.9791,4,2
7,0.528,0.9791,5,0
8,0.528,0.9791,0,2
8,0.528,0.9791,1,46
8,0.528,0.9791,2,696
8,0.528,0.9791,3,1253
8,0.528,0.9791,4,3
8,0.528,0.9791,5,0
9,0.528,0.9791,0,2
9,0.528,0.9791,1,42
9,0.528,0.9791,2,619
9,0.528,0.9791,3,1336
9,0.528,0.9791,4,1
9,0.528,0.9791,5,0
10,0.528,0.9791,0,2
10,0.528,0.9791,1,57
10,0.528,0.9791,2,858
10,0.528,0.9791,3,1083
10,0.528,0.9791,4,0
11,0.528,0.9791,0,2
11,0.528,0.9791,1,35
11,0.528,0.9791,2,567
11,0.528,0.9791,3,1395
11,0.528,0.9791,4,1
11,0.528,0.9791,5,0
12,0.528,0.9791,0,2
12,0.528,0.9791,1,42
12,0.528,0.9791,2,692
12,0.528,0.9791,3,1261
12,0.528,0.9791,4,3
12,0.528,0.9791,5,0
13,0.528,0.9791,0,2
13,0.528,0.9791,1,41
13,0.528,0.9791,2,643
13,0.528,0.9791,3,1312
13,0.528,0.9791,4,2
13,0.528,0.9791,5,0
14,0.528,0.9791,0,2
14,0.528,0.9791,1,39
14,0.528,0.9791,2,637
14,0.528,0.9791,3,1322
14,0.528,0.9791,4,0
15,0.528,0.9791,0,2
15,0.528,0.9791,1,45
15,0.528,0.9791,2,715
15,0.528,0.9791,3,1234
15,0.528,0.9791,4,4
15,0.528,0.9791,5,0
16,0.528,0.9791,0,2
16,0.528,0.9791,1,42
16,0.528,0.9791,2,663
16,0.528,0.9791,3,1292
16,0.528,0.9791,4,1
16,0.528,0.9791,5,0
17,0.528,0.9791,0,2
17,0.528,0.9791,1,39
17,0.528,0.9791,2,597
17,0.528,0.9791,3,1359
17,0.528,0.9791,4,3
17,0.528,0.9791,5,0
18,0.528,0.9791,0,2
18,0.528,0.9791,1,35
18,0.528,0.9791,2,563
18,0.528,0.9791,3,1395
18,0.528,0.9791,4,5
18,0.528,0.9791,5,0
19,0.528,0.9791,0,2
19,0.528,0.9791,1,33
19,0.528,0.9791,2,586
19,0.528,0.9791,3,1373
19,0.528,0.9791,4,6
19,0.528,0.9791,5,0
20,0.528,0.9791,0,2
20,0.528,0.9791,1,45
20,0.528,0.9791,2,707
20,0.528,0.9791,3,1246
